FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2020-10-28,1.6235,1.7235,,,1,0.39,开放申购,开放赎回,,,,
2020-10-27,1.6172,1.7172,,,1,0.12,开放申购,开放赎回,,,,
2020-10-26,1.6153,1.7153,,,1,0.01,开放申购,开放赎回,,,,
2020-10-23,1.6152,1.7152,,,1,-1.54,开放申购,开放赎回,,,,
2020-10-22,1.6405,1.7405,,,1,-0.48,开放申购,开放赎回,,,,
2020-10-21,1.6484,1.7484,,,1,-1.07,开放申购,开放赎回,,,,
2020-10-20,1.6663,1.7663,,,1,0.98,开放申购,开放赎回,,,,
2020-10-19,1.6502,1.7502,,,1,-1.05,开放申购,开放赎回,,,,
2020-10-16,1.6677,1.7677,,,1,-0.47,开放申购,开放赎回,,,,
2020-10-15,1.6756,1.7756,,,1,-0.67,开放申购,开放赎回,,,,
2020-10-14,1.6869,1.7869,,,1,-0.61,开放申购,开放赎回,,,,
2020-10-13,1.6973,1.7973,,,1,0.15,开放申购,开放赎回,,,,
2020-10-12,1.6947,1.7947,,,1,2.75,开放申购,开放赎回,,,,
2020-10-09,1.6493,1.7493,,,1,2.56,开放申购,开放赎回,,,,
2020-09-30,1.6082,1.7082,,,1,-0.59,开放申购,开放赎回,,,,
2020-09-29,1.6178,1.7178,,,1,0.80,开放申购,开放赎回,,,,
2020-09-28,1.6050,1.7050,,,1,-0.84,开放申购,开放赎回,,,,
2020-09-25,1.6186,1.7186,,,1,-0.11,开放申购,开放赎回,,,,
2020-09-24,1.6204,1.7204,,,1,-2.20,开放申购,开放赎回,,,,
2020-09-23,1.6568,1.7568,,,1,0.50,开放申购,开放赎回,,,,
2020-09-22,1.6485,1.7485,,,1,-1.28,开放申购,开放赎回,,,,
2020-09-21,1.6698,1.7698,,,1,-0.35,开放申购,开放赎回,,,,
2020-09-18,1.6757,1.7757,,,1,1.53,开放申购,开放赎回,,,,
2020-09-17,1.6504,1.7504,,,1,0.26,开放申购,开放赎回,,,,
2020-09-16,1.6461,1.7461,,,1,-0.50,开放申购,开放赎回,,,,
