FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2020-03-20,1.9130,1.9130,,,1,2.35,限制大额申购,开放赎回,,,,
2020-03-19,1.8690,1.8690,,,1,0.00,限制大额申购,开放赎回,,,,
2020-03-18,1.8690,1.8690,,,1,-2.10,限制大额申购,开放赎回,,,,
2020-03-17,1.9090,1.9090,,,1,-0.83,限制大额申购,开放赎回,,,,
2020-03-16,1.9250,1.9250,,,1,-5.45,限制大额申购,开放赎回,,,,
2020-03-13,2.0360,2.0360,,,1,-1.78,限制大额申购,开放赎回,,,,
2020-03-12,2.0730,2.0730,,,1,-2.81,限制大额申购,开放赎回,,,,
2020-03-11,2.1330,2.1330,,,1,-0.93,限制大额申购,开放赎回,,,,
2020-03-10,2.1530,2.1530,,,1,2.43,限制大额申购,开放赎回,,,,
2020-03-09,2.1020,2.1020,,,1,-3.75,限制大额申购,开放赎回,,,,
2020-03-06,2.1840,2.1840,,,1,-0.37,限制大额申购,开放赎回,,,,
2020-03-05,2.1920,2.1920,,,1,0.69,限制大额申购,开放赎回,,,,
2020-03-04,2.1770,2.1770,,,1,0.79,限制大额申购,开放赎回,,,,
2020-03-03,2.1600,2.1600,,,1,0.79,限制大额申购,开放赎回,,,,
2020-03-02,2.1430,2.1430,,,1,2.29,限制大额申购,开放赎回,,,,
2020-02-28,2.0950,2.0950,,,1,-5.20,限制大额申购,开放赎回,,,,
2020-02-27,2.2100,2.2100,,,1,0.05,限制大额申购,开放赎回,,,,
2020-02-26,2.2090,2.2090,,,1,-3.58,限制大额申购,开放赎回,,,,
2020-02-25,2.2910,2.2910,,,1,-0.78,限制大额申购,开放赎回,,,,
2020-02-24,2.3090,2.3090,,,1,-0.22,限制大额申购,开放赎回,,,,
2020-02-21,2.3140,2.3140,,,1,0.87,限制大额申购,开放赎回,,,,
2020-02-20,2.2940,2.2940,,,1,0.53,限制大额申购,开放赎回,,,,
2020-02-19,2.2820,2.2820,,,1,-2.40,限制大额申购,开放赎回,,,,
2020-02-18,2.3380,2.3380,,,1,0.43,限制大额申购,开放赎回,,,,
2020-02-17,2.3280,2.3280,,,1,3.15,限制大额申购,开放赎回,,,,
2020-02-14,2.2570,2.2570,,,1,-0.27,限制大额申购,开放赎回,,,,
2020-02-13,2.2630,2.2630,,,1,-0.66,限制大额申购,开放赎回,,,,
2020-02-12,2.2780,2.2780,,,1,3.26,限制大额申购,开放赎回,,,,
2020-02-11,2.2060,2.2060,,,1,0.55,限制大额申购,开放赎回,,,,
2020-02-10,2.1940,2.1940,,,1,1.76,限制大额申购,开放赎回,,,,
2020-02-07,2.1560,2.1560,,,1,0.28,限制大额申购,开放赎回,,,,
2020-02-06,2.1500,2.1500,,,1,2.77,限制大额申购,开放赎回,,,,
2020-02-05,2.0920,2.0920,,,1,2.70,限制大额申购,开放赎回,,,,
2020-02-04,2.0370,2.0370,,,1,2.67,限制大额申购,开放赎回,,,,
2020-02-03,1.9840,1.9840,,,1,-6.24,限制大额申购,开放赎回,,,,
2020-01-23,2.1160,2.1160,,,1,-2.31,限制大额申购,开放赎回,,,,
2020-01-22,2.1660,2.1660,,,1,1.55,限制大额申购,开放赎回,,,,
2020-01-21,2.1330,2.1330,,,1,-0.88,限制大额申购,开放赎回,,,,
2020-01-20,2.1520,2.1520,,,1,0.47,限制大额申购,开放赎回,,,,
2020-01-17,2.1420,2.1420,,,1,-0.51,限制大额申购,开放赎回,,,,
2020-01-16,2.1530,2.1530,,,1,-0.60,限制大额申购,开放赎回,,,,
2020-01-15,2.1660,2.1660,,,1,-1.05,限制大额申购,开放赎回,,,,
2020-01-14,2.1890,2.1890,,,1,0.46,限制大额申购,开放赎回,,,,
2020-01-13,2.1790,2.1790,,,1,0.93,限制大额申购,开放赎回,,,,
2020-01-10,2.1590,2.1590,,,1,-0.55,限制大额申购,开放赎回,,,,
2020-01-09,2.1710,2.1710,,,1,1.02,限制大额申购,开放赎回,,,,
2020-01-08,2.1490,2.1490,,,1,-1.10,限制大额申购,开放赎回,,,,
2020-01-07,2.1730,2.1730,,,1,0.42,限制大额申购,开放赎回,,,,
2020-01-06,2.1640,2.1640,,,1,2.51,限制大额申购,开放赎回,,,,
2020-01-03,2.1110,2.1110,,,1,1.88,限制大额申购,开放赎回,,,,
2020-01-02,2.0720,2.0720,,,1,2.73,限制大额申购,开放赎回,,,,
2019-12-31,2.0170,2.0170,,,1,0.75,限制大额申购,开放赎回,,,,
2019-12-30,2.0020,2.0020,,,1,0.40,限制大额申购,开放赎回,,,,
2019-12-27,1.9940,1.9940,,,1,0.35,限制大额申购,开放赎回,,,,
2019-12-26,1.9870,1.9870,,,1,0.15,限制大额申购,开放赎回,,,,
2019-12-25,1.9840,1.9840,,,1,0.51,限制大额申购,开放赎回,,,,
2019-12-24,1.9740,1.9740,,,1,2.92,限制大额申购,开放赎回,,,,
2019-12-23,1.9180,1.9180,,,1,-1.19,限制大额申购,开放赎回,,,,
2019-12-20,1.9410,1.9410,,,1,-1.12,限制大额申购,开放赎回,,,,
2019-12-19,1.9630,1.9630,,,1,0.00,限制大额申购,开放赎回,,,,
2019-12-18,1.9630,1.9630,,,1,0.00,限制大额申购,开放赎回,,,,
2019-12-17,1.9630,1.9630,,,1,1.08,限制大额申购,开放赎回,,,,
2019-12-16,1.9420,1.9420,,,1,1.68,限制大额申购,开放赎回,,,,
2019-12-13,1.9100,1.9100,,,1,1.38,限制大额申购,开放赎回,,,,
2019-12-12,1.8840,1.8840,,,1,-0.26,限制大额申购,开放赎回,,,,
2019-12-11,1.8890,1.8890,,,1,-1.00,限制大额申购,开放赎回,,,,
2019-12-10,1.9080,1.9080,,,1,0.58,限制大额申购,开放赎回,,,,
2019-12-09,1.8970,1.8970,,,1,0.16,限制大额申购,开放赎回,,,,
2019-12-06,1.8940,1.8940,,,1,0.26,限制大额申购,开放赎回,,,,
2019-12-05,1.8890,1.8890,,,1,0.96,限制大额申购,开放赎回,,,,
2019-12-04,1.8710,1.8710,,,1,0.59,限制大额申购,开放赎回,,,,
2019-12-03,1.8600,1.8600,,,1,0.70,限制大额申购,开放赎回,,,,
2019-12-02,1.8470,1.8470,,,1,0.54,限制大额申购,开放赎回,,,,
2019-11-29,1.8370,1.8370,,,1,0.11,限制大额申购,开放赎回,,,,
2019-11-28,1.8350,1.8350,,,1,-0.27,限制大额申购,开放赎回,,,,
2019-11-27,1.8400,1.8400,,,1,1.66,限制大额申购,开放赎回,,,,
2019-11-26,1.8100,1.8100,,,1,0.72,限制大额申购,开放赎回,,,,
2019-11-25,1.7970,1.7970,,,1,-1.32,限制大额申购,开放赎回,,,,
2019-11-22,1.8210,1.8210,,,1,-1.41,限制大额申购,开放赎回,,,,
2019-11-21,1.8470,1.8470,,,1,-0.05,限制大额申购,开放赎回,,,,
2019-11-20,1.8480,1.8480,,,1,-0.96,限制大额申购,开放赎回,,,,
2019-11-19,1.8660,1.8660,,,1,2.75,限制大额申购,开放赎回,,,,
2019-11-18,1.8160,1.8160,,,1,0.00,限制大额申购,开放赎回,,,,
2019-11-15,1.8160,1.8160,,,1,-0.16,限制大额申购,开放赎回,,,,
2019-11-14,1.8190,1.8190,,,1,1.39,限制大额申购,开放赎回,,,,
2019-11-13,1.7940,1.7940,,,1,1.24,限制大额申购,开放赎回,,,,
2019-11-12,1.7720,1.7720,,,1,-0.06,限制大额申购,开放赎回,,,,
2019-11-11,1.7730,1.7730,,,1,-1.77,限制大额申购,开放赎回,,,,
2019-11-08,1.8050,1.8050,,,1,0.39,限制大额申购,开放赎回,,,,
2019-11-07,1.7980,1.7980,,,1,-0.44,限制大额申购,开放赎回,,,,
2019-11-06,1.8060,1.8060,,,1,-0.50,限制大额申购,开放赎回,,,,
2019-11-05,1.8150,1.8150,,,1,2.60,限制大额申购,开放赎回,,,,
2019-11-04,1.7690,1.7690,,,1,2.43,限制大额申购,开放赎回,,,,
2019-11-01,1.7270,1.7270,,,1,0.76,限制大额申购,开放赎回,,,,
2019-10-31,1.7140,1.7140,,,1,-0.70,限制大额申购,开放赎回,,,,
2019-10-30,1.7260,1.7260,,,1,1.05,限制大额申购,开放赎回,,,,
2019-10-29,1.7080,1.7080,,,1,-1.84,限制大额申购,开放赎回,,,,
2019-10-28,1.7400,1.7400,,,1,2.59,限制大额申购,开放赎回,,,,
2019-10-25,1.6960,1.6960,,,1,1.44,限制大额申购,开放赎回,,,,
2019-10-24,1.6720,1.6720,,,1,0.00,限制大额申购,开放赎回,,,,
2019-10-23,1.6720,1.6720,,,1,-1.42,限制大额申购,开放赎回,,,,
2019-10-22,1.6960,1.6960,,,1,1.56,限制大额申购,开放赎回,,,,
2019-10-21,1.6700,1.6700,,,1,0.18,限制大额申购,开放赎回,,,,
2019-10-18,1.6670,1.6670,,,1,-2.23,限制大额申购,开放赎回,,,,
2019-10-17,1.7050,1.7050,,,1,0.71,限制大额申购,开放赎回,,,,
2019-10-16,1.6930,1.6930,,,1,-0.94,限制大额申购,开放赎回,,,,
2019-10-15,1.7090,1.7090,,,1,-1.67,限制大额申购,开放赎回,,,,
2019-10-14,1.7380,1.7380,,,1,2.48,限制大额申购,开放赎回,,,,
2019-10-11,1.6960,1.6960,,,1,-0.93,限制大额申购,开放赎回,,,,
2019-10-10,1.7120,1.7120,,,1,2.09,限制大额申购,开放赎回,,,,
2019-10-09,1.6770,1.6770,,,1,0.00,限制大额申购,开放赎回,,,,
2019-10-08,1.6770,1.6770,,,1,-1.18,限制大额申购,开放赎回,,,,
2019-09-30,1.6970,1.6970,,,1,-3.08,限制大额申购,开放赎回,,,,
2019-09-27,1.7510,1.7510,,,1,2.22,限制大额申购,开放赎回,,,,
2019-09-26,1.7130,1.7130,,,1,-3.22,限制大额申购,开放赎回,,,,
2019-09-25,1.7700,1.7700,,,1,-1.67,限制大额申购,开放赎回,,,,
2019-09-24,1.8000,1.8000,,,1,1.64,限制大额申购,开放赎回,,,,
2019-09-23,1.7710,1.7710,,,1,0.34,限制大额申购,开放赎回,,,,
