trade_date,ts_code,trade_date,close,open,pct_chg,amount
2008-01-02,000300.SH,20080102,5385.103,5349.763,0.8772,98886433.471
2008-01-03,000300.SH,20080103,5422.034,5381.147,0.6858,135983354.875
2008-01-04,000300.SH,20080104,5483.65,5430.63,1.1364,118866230.641
2008-01-07,000300.SH,20080107,5556.593,5480.442,1.3302,123189549.972
2008-01-08,000300.SH,20080108,5528.054,5575.95,-0.5136,147975753.744
2008-01-09,000300.SH,20080109,5613.758,5507.116,1.5503,108368103.243
2008-01-10,000300.SH,20080110,5672.154,5631.645,1.0402,144316455.605
2008-01-11,000300.SH,20080111,5699.147,5688.563,0.4759,122241534.84
2008-01-14,000300.SH,20080114,5731.757,5717.525,0.5722,109356397.974
2008-01-15,000300.SH,20080115,5696.45,5743.431,-0.616,119673141.932
2008-01-16,000300.SH,20080116,5505.717,5642.566,-3.3483,126634977.042
2008-01-17,000300.SH,20080117,5365.624,5445.803,-2.5445,136052424.646
2008-01-18,000300.SH,20080118,5414.468,5358.183,0.9103,95080872.876
2008-01-21,000300.SH,20080121,5145.734,5424.64,-4.9633,101540050.167
2008-01-22,000300.SH,20080122,4753.868,5015.428,-7.6154,126029341.672
2008-01-23,000300.SH,20080123,4975.111,4787.171,4.654,111006127.504
2008-01-24,000300.SH,20080124,5027.213,5034.533,1.0473,114169075.408
2008-01-25,000300.SH,20080125,5077.429,5022.896,0.9989,100680076.889
2008-01-28,000300.SH,20080128,4731.883,5038.507,-6.8055,81460742.897
2008-01-29,000300.SH,20080129,4762.083,4742.901,0.6382,58040616.586
2008-01-30,000300.SH,20080130,4710.652,4817.161,-1.08,72219233.312
2008-01-31,000300.SH,20080131,4620.401,4693.607,-1.9159,64311666.805
2008-02-01,000300.SH,20080201,4571.945,4623.621,-1.0487,67941469.336
2008-02-04,000300.SH,20080204,4950.124,4695.546,8.2717,85660385.508
2008-02-05,000300.SH,20080205,4921.829,4942.875,-0.5716,70626096.586
2008-02-13,000300.SH,20080213,4816.084,4858.814,-2.1485,43271699.299
2008-02-14,000300.SH,20080214,4880.252,4858.849,1.3324,40152820.965
2008-02-15,000300.SH,20080215,4813.311,4846.024,-1.3717,47298764.901
2008-02-18,000300.SH,20080218,4910.992,4875.215,2.0294,61844630.483
2008-02-19,000300.SH,20080219,5020.753,4926.839,2.235,74207768.895
2008-02-20,000300.SH,20080220,4908.717,5032.777,-2.2315,84980855.908
2008-02-21,000300.SH,20080221,4876.03,4878.569,-0.6659,67932116.459
2008-02-22,000300.SH,20080222,4702.241,4850.882,-3.5641,77110349.593
2008-02-25,000300.SH,20080225,4519.783,4704.316,-3.8802,65323658.083
2008-02-26,000300.SH,20080226,4515.533,4637.6,-0.094,67625962.769
2008-02-27,000300.SH,20080227,4639.768,4543.097,2.7513,60311456.89
2008-02-28,000300.SH,20080228,4622.056,4651.157,-0.3817,50332555.405
2008-02-29,000300.SH,20080229,4674.55,4616.24,1.1357,47275050.938
2008-03-03,000300.SH,20080303,4790.744,4648.735,2.4857,79684960.724
2008-03-04,000300.SH,20080304,4671.148,4813.401,-2.4964,88557686.654
2008-03-05,000300.SH,20080305,4628.724,4650.518,-0.9082,73479598.041
2008-03-06,000300.SH,20080306,4685.03,4645.069,1.2164,85710623.021
2008-03-07,000300.SH,20080307,4621.685,4641.755,-1.3521,60552444.836
2008-03-10,000300.SH,20080310,4431.589,4588.727,-4.1131,61147375.746
2008-03-11,000300.SH,20080311,4441.184,4393.282,0.2165,52344309.14
2008-03-12,000300.SH,20080312,4309.648,4534.811,-2.9617,55702634.312
2008-03-13,000300.SH,20080313,4198.96,4266.273,-2.5684,65769466.347
2008-03-14,000300.SH,20080314,4157.871,4179.438,-0.9786,45564248.765
2008-03-17,000300.SH,20080317,3965.279,4138.877,-4.632,52376089.129
2008-03-18,000300.SH,20080318,3763.948,3924.87,-5.0773,58459478.155
2008-03-19,000300.SH,20080319,3888.861,3837.603,3.3187,68823708.412
2008-03-20,000300.SH,20080320,4001.832,3833.205,2.905,82432595.36
2008-03-21,000300.SH,20080321,4037.83,3998.197,0.8995,74985408.749
2008-03-24,000300.SH,20080324,3857.091,4086.07,-4.4761,63943570.22
2008-03-25,000300.SH,20080325,3905.774,3780.459,1.2622,58292419.115
2008-03-26,000300.SH,20080326,3914.37,3926.864,0.2201,52026059.303
2008-03-27,000300.SH,20080327,3748.92,3847.439,-4.2267,55151411.007
2008-03-28,000300.SH,20080328,3918.156,3712.98,4.5143,72726088.76
2008-03-31,000300.SH,20080331,3790.53,3802.206,-3.2573,51166599.954
2008-04-01,000300.SH,20080401,3582.855,3776.268,-5.4788,58962080.537
2008-04-02,000300.SH,20080402,3547.977,3621.388,-0.9735,70102758.265
2008-04-03,000300.SH,20080403,3650.698,3518.223,2.8952,54233901.216
2008-04-07,000300.SH,20080407,3845.822,3611.958,5.3448,70525926.871
2008-04-08,000300.SH,20080408,3891.059,3852.011,1.1763,76485916.343
2008-04-09,000300.SH,20080409,3688.125,3857.275,-5.2154,64555767.429
2008-04-10,000300.SH,20080410,3754.715,3641.66,1.8055,47152258.251
2008-04-11,000300.SH,20080411,3783.728,3794.297,0.7727,44418993.019
2008-04-14,000300.SH,20080414,3536.327,3699.142,-6.5386,54637417.005
2008-04-15,000300.SH,20080415,3583.299,3513.068,1.3283,48997126.63
2008-04-16,000300.SH,20080416,3494.016,3573.664,-2.4916,42087715.038
2008-04-17,000300.SH,20080417,3386.63,3493.238,-3.0734,46829953.187
2008-04-18,000300.SH,20080418,3272.499,3356.562,-3.37,42184118.932
2008-04-21,000300.SH,20080421,3267.554,3516.425,-0.1511,64657686.523
2008-04-22,000300.SH,20080422,3296.277,3207.881,0.879,47706441.787
2008-04-23,000300.SH,20080423,3453.727,3267.359,4.7766,67718617.064
2008-04-24,000300.SH,20080424,3774.504,3739.321,9.2879,149394569.187
2008-04-25,000300.SH,20080425,3803.07,3781.912,0.7568,147098326.81
2008-04-28,000300.SH,20080428,3729.154,3740.951,-1.9436,85070654.687
2008-04-29,000300.SH,20080429,3776.943,3704.927,1.2815,78895825.483
2008-04-30,000300.SH,20080430,3959.119,3793.853,4.8234,122637220.696
2008-05-05,000300.SH,20080505,4055.779,4015.212,2.4415,111004387.244
2008-05-06,000300.SH,20080506,4010.888,4021.073,-1.1068,106198405.592
