trade_date,close,AR,BR
2019-12-26,1793.6354,110.04247942848747,124.7382528300487
2019-12-27,1767.5818,101.740832309499,120.56051170673298
2019-12-30,1790.2385,118.6306397799816,130.80166818129848
2019-12-31,1798.1181,134.74862882835822,147.35059560559688
2020-01-02,1832.7416,138.28376541208402,157.9103580822175
2020-01-03,1836.0118,133.23888351443566,164.771489179062
2020-01-06,1859.9209,152.02215556208466,173.90862448318845
2020-01-07,1893.2141,176.08451993908062,216.24348994687796
2020-01-08,1862.6992,164.84510676554567,179.45574727169836
2020-01-09,1913.1422,183.86930335111396,239.23482334569698
2020-01-10,1904.1945,163.5491623779642,229.62737766552044
2020-01-13,1935.0716,156.51181555779849,209.28095647275907
2020-01-14,1922.5573,145.0794603521399,197.65828205423023
2020-01-15,1924.2384,147.6523258578092,190.4172501083081
2020-01-16,1929.9608,144.2077787864834,192.5760156731415
2020-01-17,1932.5106,152.7203401071651,216.84919022357207
2020-01-20,1982.1762,162.45338244090684,236.9407935652391
2020-01-21,1967.0268,150.94611454521464,192.58136892894956
2020-01-22,1993.8991,149.28713582142103,173.39364531655735
2020-01-23,1927.7418,123.16380080868801,126.11369868748803
2020-02-03,1795.7744,141.62366963601664,72.62494093901397
2020-02-04,1882.691,172.60075883882539,89.34516432988075
2020-02-05,1939.6198,193.575493278407,111.82676674231078
2020-02-06,2012.2485,220.44571836868948,130.64191995142957
2020-02-07,2015.7993,194.40447605828354,116.09852018718033
2020-02-10,2042.1773,189.84534861457792,117.29110519429162
2020-02-11,2028.4442,178.15145576981325,112.12357069972629
2020-02-12,2085.278,204.2936937304137,125.71853404635014
2020-02-13,2064.5956,193.43900667729085,119.45604307631612
2020-02-14,2069.2188,194.90505242072786,121.26833768814369
2020-02-17,2146.1776,208.98825390985843,132.87472431183733
2020-02-18,2170.9493,213.17328734248284,135.54089313227266
2020-02-19,2139.4372,186.67484612173902,122.8606839351154
2020-02-20,2186.7374,184.58482738578593,124.81105805310784
2020-02-21,2226.6389,204.04847742893227,145.86707751453665
2020-02-24,2263.9716,204.05689417959726,135.5691488137994
2020-02-25,2287.3117,209.98274219626722,123.4580087808767
2020-02-26,2180.7012,180.8938786391484,98.23451041374851
2020-02-27,2196.7138,180.34120113397302,103.52469839416125
2020-02-28,2071.5665,177.5234053885719,84.57942283269449
2020-03-02,2135.4152,176.62553036471203,94.98031266418592
2020-03-03,2173.3465,172.9994138306414,107.5990325455214
2020-03-04,2169.4428,160.73287503986614,95.79739478986048
2020-03-05,2209.5883,158.72695690808735,104.33040761474408
2020-03-06,2192.9361,164.75926183898596,101.65356577109247
2020-03-09,2093.0632,165.59150038011458,96.42661573405432
2020-03-10,2148.8097,158.6401350392915,134.01613239210718
2020-03-11,2101.4635,132.07432194179574,116.88464243325625
2020-03-12,2045.9255,118.51057159568956,90.98476375484235
2020-03-13,2030.58,126.34810870636616,75.47580674136564
2020-03-16,1910.7666,110.59202838333219,67.99462627428515
2020-03-17,1917.7019,99.47933448605451,66.1283592790987
2020-03-18,1887.0419,100.69007444859078,71.24849100491734
2020-03-19,1894.9431,89.35332051616575,65.27709917718224
2020-03-20,1915.0464,87.09055019899587,68.5733150909888
2020-03-23,1827.0522,83.95662054414777,58.11109986123555
2020-03-24,1876.9102,75.75097385087834,54.81603735273227
2020-03-25,1937.8546,75.52634995310645,60.45096148924205
2020-03-26,1927.2753,79.35017980300641,61.8133781804281
2020-03-27,1903.881,72.89692751168646,58.767896063430534
2020-03-30,1860.4845,65.63191905680517,48.440608636770754
