日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-27,'300403,汉宇集团,4.88,5.01,4.86,4.95,4.87,0.01,0.2053,0.7383,4452000,21937779.0,2942640000.0,2942640000.0
2020-03-26,'300403,汉宇集团,4.87,4.96,4.85,4.89,4.86,0.01,0.2058,0.9942,5995050,29408921.3,2936610000.0,2936610000.0
2020-03-25,'300403,汉宇集团,4.86,4.9,4.8,4.86,4.78,0.08,1.6736,1.1039,6656630,32362222.54,2930580000.0,2930580000.0
2020-03-24,'300403,汉宇集团,4.78,4.79,4.66,4.75,4.67,0.11,2.3555,0.7411,4468850,21163683.0,2882340000.0,2882340000.0
2020-03-23,'300403,汉宇集团,4.67,4.82,4.65,4.69,4.8,-0.13,-2.7083,0.8216,4954063,23348643.83,2816010000.0,2816010000.0
2020-03-20,'300403,汉宇集团,4.8,4.83,4.69,4.8,4.76,0.04,0.8403,0.7868,4744623,22567051.33,2894400000.0,2894400000.0
2020-03-19,'300403,汉宇集团,4.76,4.76,4.6,4.7,4.69,0.07,1.4925,1.1646,7022603,32907632.08,2870280000.0,2870280000.0
2020-03-18,'300403,汉宇集团,4.69,4.91,4.68,4.82,4.75,-0.06,-1.2632,1.1722,7068330,34079893.8,2828070000.0,2828070000.0
2020-03-17,'300403,汉宇集团,4.75,4.83,4.59,4.78,4.74,0.01,0.211,1.1822,7128460,33508963.8,2864250000.0,2864250000.0
2020-03-16,'300403,汉宇集团,4.74,5.0,4.7,4.98,4.92,-0.18,-3.6585,1.4904,8987050,43760727.1,2858220000.0,2858220000.0
2020-03-13,'300403,汉宇集团,4.92,4.98,4.65,4.7,5.06,-0.14,-2.7668,2.5405,15319500,74419410.8,2966760000.0,2966760000.0
2020-03-12,'300403,汉宇集团,5.06,5.28,5.0,5.28,5.5,-0.44,-8.0,5.7335,34573049,178428447.29,3051180000.0,3051180000.0
2020-03-11,'300403,汉宇集团,5.5,5.72,5.21,5.23,5.2,0.3,5.7692,7.8595,47392589,267725156.38,3316500000.0,3316500000.0
2020-03-10,'300403,汉宇集团,5.2,5.21,4.96,5.08,5.09,0.11,2.1611,1.3612,8207802,41878403.84,3135600000.0,3135600000.0
2020-03-09,'300403,汉宇集团,5.09,5.34,5.08,5.32,5.38,-0.29,-5.3903,1.5293,9221630,47872848.2,3069270000.0,3069270000.0
2020-03-06,'300403,汉宇集团,5.38,5.43,5.32,5.43,5.47,-0.09,-1.6453,1.4218,8573370,46103685.0,3244140000.0,3244140000.0
2020-03-05,'300403,汉宇集团,5.47,5.52,5.32,5.46,5.4,0.07,1.2963,1.9999,12059390,65376309.9,3298410000.0,3298410000.0
2020-03-04,'300403,汉宇集团,5.4,5.41,5.25,5.3,5.34,0.06,1.1236,1.0717,6462550,34447960.6,3256200000.0,3256200000.0
2020-03-03,'300403,汉宇集团,5.34,5.57,5.25,5.39,5.33,0.01,0.1876,1.5327,9242460,50063465.7,3220020000.0,3220020000.0
2020-03-02,'300403,汉宇集团,5.33,5.39,5.16,5.18,5.18,0.15,2.8958,1.6291,9823370,52094245.5,3213990000.0,3213990000.0
2020-02-28,'300403,汉宇集团,5.18,5.35,5.06,5.31,5.42,-0.24,-4.428,1.8791,11330798,59013805.74,3123540000.0,3123540000.0
