日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-27,'000420,吉林化纤,2.23,2.28,2.22,2.25,2.23,0.0,0.0,2.8222,52234140,117593215.8,4394675842.88,4127338478.9
2020-03-26,'000420,吉林化纤,2.23,2.32,2.22,2.27,2.3,-0.07,-3.0435,3.8012,70354404,158281980.62,4394675842.88,4127338478.9
2020-03-25,'000420,吉林化纤,2.3,2.31,2.18,2.22,2.18,0.12,5.5046,4.7999,88838102,199486642.97,4532625308.8,4256896189.0
2020-03-24,'000420,吉林化纤,2.18,2.24,2.08,2.23,2.17,0.01,0.4608,3.7795,69952058,151782522.19,4296140510.08,4034797257.4
2020-03-23,'000420,吉林化纤,2.17,2.34,2.15,2.28,2.35,-0.18,-7.6596,4.2801,79216650,177520828.0,4276433443.52,4016289013.1
2020-03-20,'000420,吉林化纤,2.35,2.38,2.3,2.36,2.33,0.02,0.8584,3.2369,59909376,140000107.8,4631160641.6,4349437410.5
2020-03-19,'000420,吉林化纤,2.33,2.43,2.26,2.4,2.41,-0.08,-3.3195,5.2347,96885162,225956978.96,4591746508.48,4312420921.9
2020-03-18,'000420,吉林化纤,2.41,2.59,2.41,2.44,2.47,-0.06,-2.4291,6.0747,112432241,278191171.66,4749403040.96,4460486876.3
2020-03-17,'000420,吉林化纤,2.47,2.66,2.38,2.57,2.64,-0.17,-6.4394,7.7254,142983826,352243707.94,4867645440.32,4571536342.1
2020-03-16,'000420,吉林化纤,2.64,2.97,2.62,2.8,2.86,-0.22,-7.6923,9.4812,175481164,495489449.02,5202665571.84,4886176495.2
2020-03-13,'000420,吉林化纤,2.86,3.04,2.86,2.86,3.18,-0.32,-10.0629,9.0453,167413018,482765375.48,5636221036.16,5293357869.8
2020-03-12,'000420,吉林化纤,3.18,3.76,3.18,3.6,3.53,-0.35,-9.915,17.39,321858197,1091570376.98,6266847166.08,5885621687.4
2020-03-11,'000420,吉林化纤,3.53,3.53,2.93,3.02,3.21,0.32,9.9688,19.8423,367247033,1219271387.74,6956594495.68,6533410237.9
2020-03-10,'000420,吉林化纤,3.21,3.21,2.82,2.94,2.92,0.29,9.9315,17.5732,325249155,1005403975.08,6325968365.76,5941146420.3
2020-03-09,'000420,吉林化纤,2.92,2.92,2.75,2.92,2.65,0.27,10.1887,8.0129,148304187,430533194.88,5754463435.52,5404407335.6
2020-03-06,'000420,吉林化纤,2.65,2.65,2.42,2.43,2.41,0.24,9.9585,3.7732,69834576,179289833.32,5222372638.4,4904684739.5
2020-03-05,'000420,吉林化纤,2.41,2.45,2.31,2.33,2.31,0.1,4.329,2.5243,46720100,110711997.16,4749403040.96,4460486876.3
2020-03-04,'000420,吉林化纤,2.31,2.37,2.28,2.34,2.35,-0.04,-1.7021,1.4019,25945800,60135719.98,4552332375.36,4275404433.3
2020-03-03,'000420,吉林化纤,2.35,2.41,2.33,2.36,2.4,-0.05,-2.0833,2.2626,41875838,98895368.42,4631160641.6,4349437410.5
2020-03-02,'000420,吉林化纤,2.4,2.53,2.37,2.49,2.38,0.02,0.8403,3.5272,65282196,159291763.3,4729695974.4,4441978632.0
2020-02-28,'000420,吉林化纤,2.38,2.43,2.2,2.23,2.26,0.12,5.3097,3.5414,65544794,153694371.26,4690281841.28,4404962143.4
2020-02-27,'000420,吉林化纤,2.26,2.33,2.23,2.31,2.29,-0.03,-1.31,1.0635,19682792,44634252.0,4453797042.56,4182863211.8
