日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-27,'002691,冀凯股份,5.23,5.28,5.18,5.22,5.17,0.06,1.1605,0.5556,1889140,9848644.9,1778200000.0,1778200000.0
2020-03-26,'002691,冀凯股份,5.17,5.25,5.16,5.24,5.23,-0.06,-1.1472,0.499,1696500,8819279.0,1757800000.0,1757800000.0
2020-03-25,'002691,冀凯股份,5.23,5.28,5.19,5.21,5.15,0.08,1.5534,0.6697,2277122,11919689.96,1778200000.0,1778200000.0
2020-03-24,'002691,冀凯股份,5.15,5.21,5.01,5.03,4.96,0.19,3.8306,1.07,3638000,18521954.22,1751000000.0,1751000000.0
2020-03-23,'002691,冀凯股份,4.96,5.1,4.96,5.1,5.14,-0.18,-3.5019,0.613,2084080,10462041.0,1686400000.0,1686400000.0
2020-03-20,'002691,冀凯股份,5.14,5.15,5.04,5.11,5.11,0.03,0.5871,0.7403,2516870,12853282.0,1747600000.0,1747600000.0
2020-03-19,'002691,冀凯股份,5.11,5.19,4.95,5.14,5.02,0.09,1.7928,0.8334,2833631,14334915.76,1737400000.0,1737400000.0
2020-03-18,'002691,冀凯股份,5.02,5.16,4.97,5.1,5.04,-0.02,-0.3968,0.845,2873076,14600797.28,1706800000.0,1706800000.0
2020-03-17,'002691,冀凯股份,5.04,5.22,4.9,5.09,5.14,-0.1,-1.9455,0.8469,2879352,14607213.88,1713600000.0,1713600000.0
2020-03-16,'002691,冀凯股份,5.14,5.38,5.14,5.3,5.25,-0.11,-2.0952,1.0477,3562232,18770523.56,1747600000.0,1747600000.0
2020-03-13,'002691,冀凯股份,5.25,5.32,5.01,5.19,5.36,-0.11,-2.0522,0.9321,3169081,16399262.72,1785000000.0,1785000000.0
2020-03-12,'002691,冀凯股份,5.36,5.37,5.23,5.3,5.39,-0.03,-0.5566,0.9118,3100236,16398220.7,1822400000.0,1822400000.0
2020-03-11,'002691,冀凯股份,5.39,5.56,5.39,5.48,5.48,-0.09,-1.6423,1.1737,3990670,21880726.0,1832600000.0,1832600000.0
