ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-03-27,'300012,»ª²â¼ì²â,15.25,15.63,15.21,15.52,15.27,-0.02,-0.131,0.7539,12495680,192178417.83,25277343388.5,25277343388.5
2020-03-26,'300012,»ª²â¼ì²â,15.27,15.64,14.76,14.9,14.84,0.43,2.8976,1.5343,25432118,389570024.08,25310494002.8,25310494002.8
2020-03-25,'300012,»ª²â¼ì²â,14.84,15.08,14.38,14.64,14.24,0.6,4.2135,1.7945,29744973,438087739.94,24597755795.8,24597755795.8
2020-03-24,'300012,»ª²â¼ì²â,14.24,14.48,13.88,14.13,13.8,0.44,3.1884,1.4709,24380968,346396682.76,23603237367.4,23603237367.4
2020-03-23,'300012,»ª²â¼ì²â,13.8,14.4,13.72,14.21,14.71,-0.91,-6.1863,1.5487,25669839,359576092.67,22873923853.2,22873923853.2
2020-03-20,'300012,»ª²â¼ì²â,14.71,15.07,14.32,14.69,14.51,0.2,1.3784,1.6833,27900600,409924653.27,24382276802.9,24382276802.9
2020-03-19,'300012,»ª²â¼ì²â,14.51,15.24,13.96,15.0,14.97,-0.46,-3.0728,2.8051,46494605,669602373.67,24050770660.1,24050770660.1
2020-03-18,'300012,»ª²â¼ì²â,14.97,15.56,14.87,14.98,14.82,0.15,1.0121,1.9559,32420436,494076238.71,24813234788.6,24813234788.6
2020-03-17,'300012,»ª²â¼ì²â,14.82,15.5,14.4,15.0,14.95,-0.13,-0.8696,2.0798,34474109,510467404.07,24564605181.5,24564605181.5
2020-03-16,'300012,»ª²â¼ì²â,14.95,16.09,14.77,16.04,16.0,-1.05,-6.5625,1.9507,32334062,495281848.92,24780084174.3,24780084174.3
2020-03-13,'300012,»ª²â¼ì²â,16.0,16.16,15.17,15.17,15.96,0.04,0.2506,1.6532,27401582,431194550.3,26520491424.0,26520491424.0
2020-03-12,'300012,»ª²â¼ì²â,15.96,16.4,15.9,16.2,16.46,-0.5,-3.0377,1.4846,24607984,395078461.98,26454190195.4,26454190195.4
2020-03-11,'300012,»ª²â¼ì²â,16.46,16.92,16.32,16.39,16.39,0.07,0.4271,1.7037,28240047,468298106.72,27282955552.4,27282955552.4
2020-03-10,'300012,»ª²â¼ì²â,16.39,16.49,15.45,15.46,15.73,0.66,4.1958,2.4959,41369695,666949209.04,27166928402.5,27166928402.5
2020-03-09,'300012,»ª²â¼ì²â,15.73,16.29,15.59,16.2,16.55,-0.82,-4.9547,1.9904,32991398,525239264.65,26072958131.2,26072958131.2
2020-03-06,'300012,»ª²â¼ì²â,16.55,16.85,16.21,16.4,16.6,-0.05,-0.3012,0.922,15282730,253303039.73,27432133316.7,27432133316.7
2020-03-05,'300012,»ª²â¼ì²â,16.6,16.77,16.33,16.48,16.38,0.22,1.3431,1.6496,27343136,453283092.19,27515009852.4,27515009852.4
2020-03-04,'300012,»ª²â¼ì²â,16.38,16.71,16.11,16.53,16.7,-0.32,-1.9162,1.2209,20235991,331854442.38,27150353095.3,27150353095.3
2020-03-03,'300012,»ª²â¼ì²â,16.7,17.05,16.46,16.71,16.39,0.31,1.8914,1.7876,29630383,497323404.47,27680762923.8,27680762923.8
2020-03-02,'300012,»ª²â¼ì²â,16.39,16.59,15.95,16.18,16.28,0.11,0.6757,1.9819,32849966,534294837.69,27166928402.5,27166928402.5
2020-02-28,'300012,»ª²â¼ì²â,16.28,16.65,15.85,16.19,16.84,-0.56,-3.3254,2.3299,38619594,626423721.22,26984600023.9,26984600023.9
2020-02-27,'300012,»ª²â¼ì²â,16.84,17.15,16.71,16.92,16.92,-0.08,-0.4728,1.3975,23164186,391937179.28,27912817223.8,27912817223.8
2020-02-26,'300012,»ª²â¼ì²â,16.92,17.66,16.85,17.37,17.64,-0.72,-4.0816,1.9946,33060330,564354521.01,28045419680.9,28045419680.9
2020-02-25,'300012,»ª²â¼ì²â,17.64,17.74,16.82,16.85,17.28,0.36,2.0833,2.3959,39712286,692127395.78,29238841795.0,29238841795.0
2020-02-24,'300012,»ª²â¼ì²â,17.28,17.47,16.94,17.41,17.53,-0.25,-1.4261,2.1064,34914982,601683961.87,28642130737.9,28642130737.9
2020-02-21,'300012,»ª²â¼ì²â,17.53,17.75,17.17,17.5,17.45,0.08,0.4585,1.9315,32015284,558342588.63,29056513416.4,29056513416.4
2020-02-20,'300012,»ª²â¼ì²â,17.45,17.45,16.92,16.98,17.08,0.37,2.1663,1.606,26620106,460068745.23,28923910959.3,28923910959.3
2020-02-19,'300012,»ª²â¼ì²â,17.08,17.43,16.84,17.35,17.26,-0.18,-1.0429,1.6437,27245251,466125189.19,28310624595.1,28310624595.1
2020-02-18,'300012,»ª²â¼ì²â,17.26,17.67,16.97,17.14,17.08,0.18,1.0539,1.9966,33094097,571910294.95,28608980123.6,28608980123.6
2020-02-17,'300012,»ª²â¼ì²â,17.08,17.13,16.44,16.57,16.47,0.61,3.7037,2.1564,35743602,602046197.27,28310624595.1,28310624595.1
2020-02-14,'300012,»ª²â¼ì²â,16.47,16.69,16.1,16.14,16.29,0.18,1.105,2.0159,33414851,548681976.7,27299530859.6,27299530859.6
2020-02-13,'300012,»ª²â¼ì²â,16.29,16.9,16.16,16.67,16.99,-0.7,-4.1201,3.554,58908618,967343817.11,27001175331.1,27001175331.1
2020-02-12,'300012,»ª²â¼ì²â,16.99,17.49,16.79,16.85,16.92,0.07,0.4137,1.8398,30496034,519136702.59,28161446830.9,28161446830.9
2020-02-11,'300012,»ª²â¼ì²â,16.92,17.1,16.61,17.0,17.19,-0.27,-1.5707,1.8086,29978112,507152335.81,28045419680.9,28045419680.9
2020-02-10,'300012,»ª²â¼ì²â,17.19,17.41,16.44,17.13,17.79,-0.6,-3.3727,3.6076,59797150,1008733065.71,28492952973.7,28492952973.7
2020-02-07,'300012,»ª²â¼ì²â,17.79,18.09,16.4,16.92,16.74,1.05,6.2724,2.9701,49231136,845581251.91,29487471402.1,29487471402.1
2020-02-06,'300012,»ª²â¼ì²â,16.74,16.86,15.88,16.3,16.2,0.54,3.3333,2.4522,40646463,668380521.93,27747064152.4,27747064152.4
2020-02-05,'300012,»ª²â¼ì²â,16.2,16.72,16.03,16.5,16.45,-0.25,-1.5198,2.1273,35259859,576719464.66,26851997566.8,26851997566.8
2020-02-04,'300012,»ª²â¼ì²â,16.45,16.55,15.32,15.32,15.11,1.34,8.8683,2.3658,39213558,634854634.64,27266380245.3,27266380245.3
2020-02-03,'300012,»ª²â¼ì²â,15.11,15.71,14.58,14.58,16.2,-1.09,-6.7284,2.3371,38737536,591808594.23,25045289088.5,25045289088.5
2020-01-23,'300012,»ª²â¼ì²â,16.2,16.72,15.9,16.41,16.25,-0.05,-0.3077,1.9274,31946814,520049448.48,26851997566.8,26851997566.8
2020-01-22,'300012,»ª²â¼ì²â,16.25,16.39,15.91,16.24,16.3,-0.05,-0.3067,1.343,22260407,359928475.86,26934874102.5,26934874102.5
2020-01-21,'300012,»ª²â¼ì²â,16.3,16.6,16.2,16.46,16.36,-0.06,-0.3667,1.2229,20269663,332394308.32,27017750638.2,27017750638.2
2020-01-20,'300012,»ª²â¼ì²â,16.36,16.64,16.16,16.3,16.35,0.01,0.0612,0.9148,15163482,247770704.92,27117202481.0,27117202481.0
2020-01-17,'300012,»ª²â¼ì²â,16.35,16.65,16.21,16.49,16.34,0.01,0.0612,1.1616,19254213,315344256.3,27100627173.9,27100627173.9
2020-01-16,'300012,»ª²â¼ì²â,16.34,16.36,15.82,16.05,15.99,0.35,2.1889,1.2066,20000023,323273114.14,27084051866.8,27084051866.8
2020-01-15,'300012,»ª²â¼ì²â,15.99,16.04,15.6,15.66,15.67,0.32,2.0421,1.0874,18024804,286185993.02,26503916116.9,26503916116.9
2020-01-14,'300012,»ª²â¼ì²â,15.67,15.92,15.41,15.65,15.65,0.02,0.1278,0.9956,16502887,258444346.69,25973506288.4,25973506288.4
2020-01-13,'300012,»ª²â¼ì²â,15.65,15.76,15.27,15.32,15.31,0.34,2.2208,1.3432,22263965,346417517.19,25940355674.1,25940355674.1
2020-01-10,'300012,»ª²â¼ì²â,15.31,15.45,15.12,15.31,15.39,-0.08,-0.5198,0.9621,15947207,243563484.31,25376795231.3,25376795231.3
2020-01-09,'300012,»ª²â¼ì²â,15.39,15.41,14.67,14.67,14.57,0.82,5.628,2.0647,34222343,517546570.99,25509397688.5,25509397688.5
2020-01-08,'300012,»ª²â¼ì²â,14.57,14.88,14.49,14.74,14.77,-0.2,-1.3541,0.9245,15324058,225006041.41,24150222503.0,24150222503.0
2020-01-07,'300012,»ª²â¼ì²â,14.77,14.78,14.33,14.65,14.62,0.15,1.026,1.2159,20153089,294220056.29,24481728645.8,24481728645.8
2020-01-06,'300012,»ª²â¼ì²â,14.62,14.89,14.53,14.59,14.72,-0.1,-0.6793,1.298,21514021,316276328.3,24233099038.7,24233099038.7
2020-01-03,'300012,»ª²â¼ì²â,14.72,14.99,14.51,14.96,14.92,-0.2,-1.3405,1.4781,24499454,359396182.44,24398852110.1,24398852110.1
