日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-27,'300484,蓝海华腾,8.34,8.37,7.98,8.18,8.08,0.26,3.2178,2.3383,4863736,39844747.64,1734720000.0,1734720000.0
2020-03-26,'300484,蓝海华腾,8.08,8.23,7.99,8.17,8.18,-0.1,-1.2225,1.9384,4031900,32701668.0,1680640000.0,1680640000.0
2020-03-25,'300484,蓝海华腾,8.18,8.25,8.0,8.13,7.93,0.25,3.1526,1.626,3382161,27485046.59,1701440000.0,1701440000.0
2020-03-24,'300484,蓝海华腾,7.93,7.97,7.62,7.92,7.74,0.19,2.4548,1.3116,2728178,21389016.2,1649440000.0,1649440000.0
2020-03-23,'300484,蓝海华腾,7.74,8.02,7.72,7.91,8.14,-0.4,-4.914,1.2613,2623448,20725388.04,1609920000.0,1609920000.0
2020-03-20,'300484,蓝海华腾,8.14,8.18,7.96,8.14,7.99,0.15,1.8773,1.6313,3393115,27418883.45,1693120000.0,1693120000.0
2020-03-19,'300484,蓝海华腾,7.99,8.06,7.71,7.8,7.82,0.17,2.1739,1.7481,3635977,28699560.62,1661920000.0,1661920000.0
2020-03-18,'300484,蓝海华腾,7.82,8.25,7.81,8.17,8.15,-0.33,-4.0491,2.1681,4509727,36319502.24,1626560000.0,1626560000.0
2020-03-17,'300484,蓝海华腾,8.15,8.3,7.67,7.9,8.07,0.08,0.9913,2.7586,5737927,45638307.46,1695200000.0,1695200000.0
2020-03-16,'300484,蓝海华腾,8.07,9.14,8.06,8.98,8.94,-0.87,-9.7315,4.0674,8460115,72698925.42,1678560000.0,1678560000.0
2020-03-13,'300484,蓝海华腾,8.94,9.2,8.63,8.63,9.59,-0.65,-6.7779,5.8439,12155307,106851180.74,1859520000.0,1859520000.0
2020-03-12,'300484,蓝海华腾,9.59,10.38,9.42,10.25,10.07,-0.48,-4.7666,9.1198,18969137,187281865.56,1994720000.0,1994720000.0
2020-03-11,'300484,蓝海华腾,10.07,10.07,9.78,9.78,9.15,0.92,10.0546,1.8984,3948620,39627755.06,2094560000.0,2094560000.0
2020-03-10,'300484,蓝海华腾,9.15,9.43,8.38,8.5,8.57,0.58,6.7678,4.1142,8557573,76979194.95,1903200000.0,1903200000.0
2020-03-09,'300484,蓝海华腾,8.57,9.0,8.56,8.99,9.04,-0.47,-5.1991,2.0626,4290300,37609375.45,1782560000.0,1782560000.0
2020-03-06,'300484,蓝海华腾,9.04,9.15,8.86,8.86,9.02,0.02,0.2217,1.8991,3950100,35534297.0,1880320000.0,1880320000.0
2020-03-05,'300484,蓝海华腾,9.02,9.21,8.8,8.94,8.87,0.15,1.6911,2.6288,5467800,49305657.0,1876160000.0,1876160000.0
2020-03-04,'300484,蓝海华腾,8.87,9.08,8.73,9.04,9.02,-0.15,-1.663,2.1714,4516470,40090119.3,1844960000.0,1844960000.0
2020-03-03,'300484,蓝海华腾,9.02,9.05,8.46,8.65,8.47,0.55,6.4935,2.5356,5274000,46129595.0,1876160000.0,1876160000.0
2020-03-02,'300484,蓝海华腾,8.47,8.49,8.12,8.17,8.1,0.37,4.5679,1.6371,3405271,28551772.09,1761760000.0,1761760000.0
2020-02-28,'300484,蓝海华腾,8.1,8.66,8.1,8.4,8.76,-0.66,-7.5342,1.9325,4019623,33464175.13,1684800000.0,1684800000.0
2020-02-27,'300484,蓝海华腾,8.76,8.91,8.62,8.76,8.75,0.01,0.1143,1.285,2672700,23477912.0,1822080000.0,1822080000.0
