日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-27,'603956,威派格,16.23,16.6,16.08,16.4,16.34,-0.11,-0.6732,1.9466,1710280,27787482.0,6913332423.0,1425969423.0
2020-03-26,'603956,威派格,16.34,16.65,16.06,16.54,16.74,-0.4,-2.3895,2.4208,2126936,34680601.0,6960188034.0,1435634034.0
2020-03-25,'603956,威派格,16.74,16.8,16.39,16.7,16.35,0.39,2.3853,4.0071,3520606,58301931.0,7130572074.0,1470778074.0
2020-03-24,'603956,威派格,16.35,16.4,15.81,16.28,16.09,0.26,1.6159,2.9875,2624800,42408686.0,6964447635.0,1436512635.0
2020-03-23,'603956,威派格,16.09,16.44,15.73,16.4,16.85,-0.76,-4.5104,2.4725,2172300,34937435.0,6853698009.0,1413669009.0
2020-03-20,'603956,威派格,16.85,16.85,16.18,16.76,16.66,0.19,1.1405,2.8455,2500044,41343383.0,7177427685.0,1480442685.0
2020-03-19,'603956,威派格,16.66,16.85,15.67,16.34,16.66,0.0,0.0,5.0476,4434844,71512654.0,7096495266.0,1463749266.0
2020-03-18,'603956,威派格,16.66,17.35,16.33,17.19,17.02,-0.36,-2.1152,3.5402,3110444,52471008.0,7096495266.0,1463749266.0
2020-03-17,'603956,威派格,17.02,17.4,15.98,17.35,17.19,-0.17,-0.9889,4.9354,4336277,72968980.0,7249840902.0,1495378902.0
2020-03-16,'603956,威派格,17.19,19.15,17.1,19.15,19.0,-1.81,-9.5263,6.9347,6092836,109733720.0,7322254119.0,1510315119.0
2020-03-13,'603956,威派格,19.0,19.9,18.61,18.61,20.0,-1.0,-5.0,9.3816,8242704,157604922.0,8093241900.0,1669341900.0
2020-03-12,'603956,威派格,20.0,20.19,18.51,19.37,20.0,0.0,0.0,6.7145,5899353,115015270.0,8519202000.0,1757202000.0
2020-03-11,'603956,威派格,20.0,21.95,19.8,20.17,20.18,-0.18,-0.892,15.4316,13558197,281835947.0,8519202000.0,1757202000.0
2020-03-10,'603956,威派格,20.18,20.33,17.1,18.22,19.0,1.18,6.2105,13.8121,12135351,228303846.0,8595874818.0,1773016818.0
2020-03-09,'603956,威派格,19.0,19.76,17.65,17.67,17.96,1.04,5.7906,13.3905,11764876,225213248.0,8093241900.0,1669341900.0
2020-03-06,'603956,威派格,17.96,18.5,17.67,17.85,18.4,-0.44,-2.3913,6.8213,5993200,107721575.0,7650243396.0,1577967396.0
2020-03-05,'603956,威派格,18.4,18.61,17.12,17.12,17.0,1.4,8.2353,13.4356,11804574,212461058.0,7837665840.0,1616625840.0
2020-03-04,'603956,威派格,17.0,17.53,15.77,15.77,16.03,0.97,6.0512,11.5734,10168437,171404374.0,7241321700.0,1493621700.0
2020-03-03,'603956,威派格,16.03,16.6,15.68,15.76,15.54,0.49,3.1532,4.825,4239268,68224555.0,6828140403.0,1408397403.0
2020-03-02,'603956,威派格,15.54,15.8,14.87,14.87,14.97,0.57,3.8076,2.729,2397671,37035532.0,6619419954.0,1365345954.0
2020-02-28,'603956,威派格,14.97,16.1,14.94,15.7,16.59,-1.62,-9.7649,5.076,4459790,69278806.0,6376622697.0,1315265697.0
2020-02-27,'603956,威派格,16.59,17.22,16.3,16.3,16.49,0.1,0.6064,6.9251,6084435,101869168.0,7066678059.0,1457599059.0
2020-02-26,'603956,威派格,16.49,16.63,15.56,15.59,16.02,0.47,2.9338,6.9086,6069921,99457749.0,7024082049.0,1448813049.0
2020-02-25,'603956,威派格,16.02,16.15,15.45,15.96,16.29,-0.27,-1.6575,4.6992,4128721,65592793.0,6823880802.0,1407518802.0
2020-02-24,'603956,威派格,16.29,16.29,15.5,15.78,15.91,0.38,2.3884,5.1573,4531171,72487815.0,6938890029.0,1431241029.0
2020-02-21,'603956,威派格,15.91,16.17,15.5,16.11,16.04,-0.13,-0.8105,10.0508,4281252,68199197.0,6777025191.0,677703951.0
2020-02-20,'603956,威派格,16.04,16.42,15.25,15.3,15.55,0.49,3.1511,13.3955,5705971,90213643.0,6832400004.0,683241444.0
2020-02-19,'603956,威派格,15.55,16.75,15.33,16.36,15.94,-0.39,-2.4467,17.0693,7270840,117676598.0,6623679555.0,662369355.0
2020-02-18,'603956,威派格,15.94,15.94,14.46,14.49,14.49,1.45,10.0069,5.7924,2467330,38062582.0,6789803994.0,678981834.0
2020-02-17,'603956,威派格,14.49,14.55,14.14,14.14,14.09,0.4,2.8389,5.1751,2204400,31804693.0,6172161849.0,617217489.0
2020-02-14,'603956,威派格,14.09,14.28,14.01,14.12,14.32,-0.23,-1.6061,3.2935,1402883,19829617.0,6001777809.0,600179049.0
2020-02-13,'603956,威派格,14.32,14.69,14.21,14.21,14.3,0.02,0.1399,4.0461,1723487,24809299.0,6099748632.0,609976152.0
2020-02-12,'603956,威派格,14.3,14.32,14.05,14.2,14.2,0.1,0.7042,3.5369,1506600,21429425.0,6091229430.0,609124230.0
2020-02-11,'603956,威派格,14.2,14.45,14.15,14.27,14.46,-0.26,-1.7981,3.9044,1663122,23806058.0,6048633420.0,604864620.0
2020-02-10,'603956,威派格,14.46,14.66,13.81,13.9,13.96,0.5,3.5817,6.6125,2816656,40102119.0,6159383046.0,615939606.0
2020-02-07,'603956,威派格,13.96,14.06,13.71,13.77,13.9,0.06,0.4317,4.7283,2014068,27897512.0,5946402996.0,594641556.0
2020-02-06,'603956,威派格,13.9,14.14,13.41,13.65,13.61,0.29,2.1308,5.9628,2539935,34889393.0,5920845390.0,592085790.0
2020-02-05,'603956,威派格,13.61,13.93,13.53,13.55,13.5,0.11,0.8148,4.6305,1972417,27073900.0,5797316961.0,579732921.0
2020-02-04,'603956,威派格,13.5,14.23,12.81,12.81,14.23,-0.73,-5.13,6.4747,2757961,37099908.0,5750461350.0,575047350.0
2020-02-03,'603956,威派格,14.23,14.23,14.23,14.23,15.81,-1.58,-9.9937,0.7855,334600,4761358.0,6061412223.0,606142503.0
2020-01-23,'603956,威派格,15.81,16.58,15.65,16.2,16.2,-0.39,-2.4074,4.0186,1711783,27583075.0,6734429181.0,673444341.0
2020-01-22,'603956,威派格,16.2,16.35,15.83,16.18,16.37,-0.17,-1.0385,2.9235,1245300,20114237.0,6900553620.0,690056820.0
2020-01-21,'603956,威派格,16.37,16.8,16.37,16.52,16.69,-0.32,-1.9173,3.4388,1464800,24208556.0,6972966837.0,697298157.0
2020-01-20,'603956,威派格,16.69,16.86,16.54,16.64,16.59,0.1,0.6028,2.9717,1265833,21127542.0,7109274069.0,710928909.0
2020-01-17,'603956,威派格,16.59,17.05,16.59,17.03,16.93,-0.34,-2.0083,3.9416,1678964,28148844.0,7066678059.0,706669299.0
2020-01-16,'603956,威派格,16.93,17.34,16.92,17.3,17.2,-0.27,-1.5698,3.8823,1653690,28211548.0,7211504493.0,721151973.0
2020-01-15,'603956,威派格,17.2,17.35,17.03,17.16,17.15,0.05,0.2915,4.8773,2077535,35695429.0,7326513720.0,732652920.0
2020-01-14,'603956,威派格,17.15,17.45,17.12,17.45,17.45,-0.3,-1.7192,6.6653,2839157,48916189.0,7305215715.0,730523115.0
2020-01-13,'603956,威派格,17.45,17.68,16.81,16.95,16.86,0.59,3.4994,9.6284,4101317,70897319.0,7433003745.0,743301945.0
2020-01-10,'603956,威派格,16.86,17.06,16.83,17.06,16.97,-0.11,-0.6482,4.2364,1804522,30582655.0,7181687286.0,718170246.0
2020-01-09,'603956,威派格,16.97,16.97,16.77,16.8,16.68,0.29,1.7386,4.3774,1864583,31468833.0,7228542897.0,722855817.0
2020-01-08,'603956,威派格,16.68,17.15,16.68,17.1,17.17,-0.49,-2.8538,5.9941,2553235,43038559.0,7105014468.0,710502948.0
2020-01-07,'603956,威派格,17.17,17.24,16.96,17.0,17.0,0.17,1.0,6.5931,2808412,48041602.0,7313734917.0,731375037.0
2020-01-06,'603956,威派格,17.0,17.06,16.6,16.9,16.91,0.09,0.5322,6.6782,2844658,48014128.0,7241321700.0,724133700.0
2020-01-03,'603956,威派格,16.91,17.1,16.79,16.98,16.92,-0.01,-0.0591,5.7853,2464317,41748258.0,7202985291.0,720300051.0
