»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2020-03-27,'300244,µœ∞≤’Ô∂œ,24.32,25.36,24.29,25.08,24.81,-0.49,-1.975,1.9727,12239837,302468188.22,15089545758.7,15089545758.7
2020-03-26,'300244,µœ∞≤’Ô∂œ,24.81,25.16,23.55,23.66,23.19,1.62,6.9858,2.7022,16766245,411385263.13,15393570323.8,15393570323.8
2020-03-25,'300244,µœ∞≤’Ô∂œ,23.19,23.47,22.9,23.14,22.75,0.44,1.9341,1.1025,6840467,158773263.06,14388427884.2,14388427884.2
2020-03-24,'300244,µœ∞≤’Ô∂œ,22.75,22.91,22.08,22.66,22.39,0.36,1.6079,1.0916,6772829,152622478.25,14115426234.0,14115426234.0
2020-03-23,'300244,µœ∞≤’Ô∂œ,22.39,23.55,22.39,23.14,23.62,-1.23,-5.2075,1.1025,6840482,156943369.24,13892061247.4,13892061247.4
2020-03-20,'300244,µœ∞≤’Ô∂œ,23.62,23.81,22.88,23.21,23.03,0.59,2.5619,0.8566,5315094,123946874.95,14655224951.5,14655224951.5
2020-03-19,'300244,µœ∞≤’Ô∂œ,23.03,23.15,22.43,23.03,22.82,0.21,0.9202,1.1478,7121713,162622620.73,14289154556.9,14289154556.9
2020-03-18,'300244,µœ∞≤’Ô∂œ,22.82,23.75,22.8,23.65,23.28,-0.46,-1.9759,1.0167,6308108,147400122.38,14158858314.7,14158858314.7
2020-03-17,'300244,µœ∞≤’Ô∂œ,23.28,24.0,22.73,23.74,23.43,-0.15,-0.6402,1.2566,7796474,180776783.13,14444269130.9,14444269130.9
2020-03-16,'300244,µœ∞≤’Ô∂œ,23.43,24.9,23.13,24.31,24.26,-0.83,-3.4213,1.6282,10102124,243043729.3,14537337875.3,14537337875.3
2020-03-13,'300244,µœ∞≤’Ô∂œ,24.26,24.68,23.45,23.93,24.74,-0.48,-1.9402,1.5029,9324617,224743719.56,15052318261.0,15052318261.0
2020-03-12,'300244,µœ∞≤’Ô∂œ,24.74,25.64,24.33,25.64,25.75,-1.01,-3.9223,1.6636,10322048,255952164.98,15350138243.0,15350138243.0
2020-03-11,'300244,µœ∞≤’Ô∂œ,25.75,26.05,25.44,25.95,25.7,0.05,0.1946,1.1215,6958247,179311507.49,15976801122.0,15976801122.0
2020-03-10,'300244,µœ∞≤’Ô∂œ,25.7,26.39,24.75,25.54,25.85,-0.15,-0.5803,1.9206,11916370,303511367.52,15945778207.2,15945778207.2
2020-03-09,'300244,µœ∞≤’Ô∂œ,25.85,27.16,25.84,26.4,26.72,-0.87,-3.256,2.1156,13126631,346422928.49,16038846951.6,16038846951.6
2020-03-06,'300244,µœ∞≤’Ô∂œ,26.72,27.65,26.25,26.4,26.4,0.32,1.2121,2.2215,13783306,373180402.99,16578645669.1,16578645669.1
2020-03-05,'300244,µœ∞≤’Ô∂œ,26.4,26.6,25.8,26.41,26.36,0.04,0.1517,1.307,8109188,213248577.95,16380099014.4,16380099014.4
2020-03-04,'300244,µœ∞≤’Ô∂œ,26.36,26.6,26.0,26.6,26.26,0.1,0.3808,0.9997,6202598,163213170.55,16355280682.6,16355280682.6
2020-03-03,'300244,µœ∞≤’Ô∂œ,26.26,26.94,26.05,26.22,25.95,0.31,1.1946,1.5481,9605318,254336508.32,16293234853.0,16293234853.0
2020-03-02,'300244,µœ∞≤’Ô∂œ,25.95,26.14,25.03,25.7,25.57,0.38,1.4861,1.4816,9192467,236749153.83,16100892781.2,16100892781.2
2020-02-28,'300244,µœ∞≤’Ô∂œ,25.57,27.16,25.22,26.49,25.97,-0.4,-1.5402,2.2933,14229112,372618313.86,15865118628.7,15865118628.7
2020-02-27,'300244,µœ∞≤’Ô∂œ,25.97,26.41,25.67,25.91,25.86,0.11,0.4254,1.1285,7001862,182656988.93,16113301947.1,16113301947.1
2020-02-26,'300244,µœ∞≤’Ô∂œ,25.86,27.6,25.85,27.5,27.9,-2.04,-7.3118,2.5215,15645108,416373209.14,16045051534.6,16045051534.6
2020-02-25,'300244,µœ∞≤’Ô∂œ,27.9,28.75,27.15,27.26,27.73,0.17,0.6131,2.694,16715021,468592987.94,17310786458.4,17310786458.4
2020-02-24,'300244,µœ∞≤’Ô∂œ,27.73,27.97,27.11,27.49,27.17,0.56,2.0611,2.4014,14899990,411922413.1,17205308548.1,17205308548.1
2020-02-21,'300244,µœ∞≤’Ô∂œ,27.17,27.65,26.68,27.05,27.1,0.07,0.2583,1.9809,12290380,334126236.78,16857851902.3,16857851902.3
2020-02-20,'300244,µœ∞≤’Ô∂œ,27.1,27.26,26.69,26.95,26.9,0.2,0.7435,1.8546,11506795,310776797.01,16814419821.6,16814419821.6
2020-02-19,'300244,µœ∞≤’Ô∂œ,26.9,27.45,26.86,27.3,27.51,-0.61,-2.2174,1.7987,11160204,302174839.9,16690328162.4,16690328162.4
2020-02-18,'300244,µœ∞≤’Ô∂œ,27.51,27.74,27.01,27.6,27.73,-0.22,-0.7934,2.2876,14193295,388779232.44,17068807723.0,17068807723.0
2020-02-17,'300244,µœ∞≤’Ô∂œ,27.73,28.05,26.53,26.54,26.53,1.2,4.5232,3.1499,19543671,536569133.89,17205308548.1,17205308548.1
2020-02-14,'300244,µœ∞≤’Ô∂œ,26.53,27.1,26.38,26.6,26.69,-0.16,-0.5995,1.3468,8356608,222807661.25,16460758592.9,16460758592.9
2020-02-13,'300244,µœ∞≤’Ô∂œ,26.69,27.73,26.5,27.6,27.53,-0.84,-3.0512,1.8781,11652913,313324249.38,16560031920.2,16560031920.2
2020-02-12,'300244,µœ∞≤’Ô∂œ,27.53,27.87,26.96,27.63,27.44,0.09,0.328,2.0493,12715125,348428870.41,17081216888.9,17081216888.9
2020-02-11,'300244,µœ∞≤’Ô∂œ,27.44,28.3,27.3,27.82,28.26,-0.82,-2.9016,2.3988,14883755,410829097.38,17025375642.2,17025375642.2
2020-02-10,'300244,µœ∞≤’Ô∂œ,28.26,30.49,27.63,30.0,29.24,-0.98,-3.3516,4.1246,25591157,738119318.61,17534151445.0,17534151445.0
2020-02-07,'300244,µœ∞≤’Ô∂œ,29.24,30.5,28.1,30.2,28.65,0.59,2.0593,4.8463,30069135,887433655.77,18142200575.0,18142200575.0
2020-02-06,'300244,µœ∞≤’Ô∂œ,28.65,30.0,28.0,28.88,28.48,0.17,0.5969,4.2835,26577269,770310209.15,17776130180.4,17776130180.4
2020-02-05,'300244,µœ∞≤’Ô∂œ,28.48,28.83,26.66,27.3,26.43,2.05,7.7563,4.4375,27532815,763375404.1,17670652270.1,17670652270.1
2020-02-04,'300244,µœ∞≤’Ô∂œ,26.43,27.87,24.81,26.45,26.74,-0.31,-1.1593,3.9082,24248969,639038868.0,16398712763.3,16398712763.3
2020-02-03,'300244,µœ∞≤’Ô∂œ,26.74,26.92,22.5,22.5,24.47,2.27,9.2767,4.0154,24913638,623686476.81,16591054835.0,16591054835.0
2020-01-23,'300244,µœ∞≤’Ô∂œ,24.47,25.36,24.18,24.72,24.93,-0.46,-1.8452,1.6701,10361999,256222114.38,15182614503.1,15182614503.1
2020-01-22,'300244,µœ∞≤’Ô∂œ,24.93,25.4,24.21,25.4,25.55,-0.62,-2.4266,1.8941,11752230,290673009.57,15468025319.3,15468025319.3
