»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2020-03-27,'300147,œ„—©÷∆“©,9.2,9.36,9.07,9.33,9.33,-0.13,-1.3934,1.8369,11989492,110195052.25,6085582282.0,6004920325.2
2020-03-26,'300147,œ„—©÷∆“©,9.33,9.51,9.14,9.14,9.39,-0.06,-0.639,1.9937,13013075,121996708.73,6171574205.55,6089772460.23
2020-03-25,'300147,œ„—©÷∆“©,9.39,9.53,8.71,9.53,9.45,-0.06,-0.6349,2.1904,14296665,134021469.99,6211262785.65,6128934984.09
2020-03-24,'300147,œ„—©÷∆“©,9.45,9.46,9.12,9.34,9.53,-0.08,-0.8395,2.6239,17126275,158803836.73,6250951365.75,6168097507.95
2020-03-23,'300147,œ„—©÷∆“©,9.53,9.93,8.95,9.1,9.12,0.41,4.4956,3.4451,22486701,210447029.38,6303869472.55,6220314206.43
2020-03-20,'300147,œ„—©÷∆“©,9.12,9.18,8.88,8.96,8.82,0.3,3.4014,2.0774,13559666,122759159.54,6032664175.2,5952703626.72
2020-03-19,'300147,œ„—©÷∆“©,8.82,9.01,8.56,8.88,9.0,-0.18,-2.0,2.406,15704385,137456893.17,5834221274.7,5756891007.42
2020-03-18,'300147,œ„—©÷∆“©,9.0,9.45,8.98,9.23,9.22,-0.22,-2.3861,2.013,13139201,121049755.37,5953287015.0,5874378579.0
2020-03-17,'300147,œ„—©÷∆“©,9.22,9.53,8.92,9.42,9.7,-0.48,-4.9485,3.4359,22426546,205994285.47,6098811808.7,6017974499.82
2020-03-16,'300147,œ„—©÷∆“©,9.7,10.04,9.3,9.36,9.13,0.57,6.2432,5.4118,35323078,346642928.7,6416320449.5,6331274690.7
2020-03-13,'300147,œ„—©÷∆“©,9.13,9.34,8.94,9.3,9.87,-0.74,-7.4975,3.5243,23003690,210077467.98,6039278938.55,5959230714.03
2020-03-12,'300147,œ„—©÷∆“©,9.87,10.09,9.81,10.05,10.14,-0.27,-2.6627,2.1996,14357000,142674612.67,6528771426.45,6442235174.97
2020-03-11,'300147,œ„—©÷∆“©,10.14,10.35,10.1,10.28,10.28,-0.14,-1.3619,2.1641,14125231,144066348.31,6707370036.9,6618466532.34
2020-03-10,'300147,œ„—©÷∆“©,10.28,10.36,9.6,10.31,10.6,-0.32,-3.0189,4.2311,27616467,277843058.9,6799976723.8,6709845754.68
2020-03-09,'300147,œ„—©÷∆“©,10.6,11.14,10.3,11.09,10.89,-0.29,-2.663,6.2082,40521589,434465008.75,7011649151.0,6918712548.6
2020-03-06,'300147,œ„—©÷∆“©,10.89,10.95,10.3,10.36,10.42,0.47,4.5106,4.9748,32471087,350195932.41,7203477288.15,7107998080.59
2020-03-05,'300147,œ„—©÷∆“©,10.42,10.46,10.17,10.34,10.24,0.18,1.7578,3.1544,20589306,212849119.95,6892583410.7,6801224977.02
2020-03-04,'300147,œ„—©÷∆“©,10.24,10.38,10.04,10.15,10.27,-0.03,-0.2921,2.88,18797839,191498150.18,6773517670.4,6683737405.44
2020-03-03,'300147,œ„—©÷∆“©,10.27,10.36,9.83,9.9,9.82,0.45,4.5825,3.8347,25029459,253778336.41,6793361960.45,6703318667.37
2020-03-02,'300147,œ„—©÷∆“©,9.82,9.94,9.61,9.83,9.6,0.22,2.2917,2.2176,14474343,141889251.95,6495697609.7,6409599738.42
2020-02-28,'300147,œ„—©÷∆“©,9.6,10.29,9.6,9.9,10.02,-0.42,-4.1916,3.2767,21387469,212503097.18,6350172816.0,6266003817.6
2020-02-27,'300147,œ„—©÷∆“©,10.02,10.45,9.97,10.33,10.33,-0.31,-3.001,3.1208,20369990,206294593.54,6627992876.7,6540141484.62
2020-02-26,'300147,œ„—©÷∆“©,10.33,10.91,10.3,10.91,10.98,-0.65,-5.9199,5.1763,33786077,356473799.05,6833050540.55,6742481191.23
2020-02-25,'300147,œ„—©÷∆“©,10.98,10.99,10.21,10.37,10.3,0.68,6.6019,7.9185,51684871,552876798.95,7263010158.3,7166741866.38
2020-02-24,'300147,œ„—©÷∆“©,10.3,10.36,9.91,9.91,9.89,0.41,4.1456,5.2637,34356789,351479508.82,6813206250.5,6722899929.3
2020-02-21,'300147,œ„—©÷∆“©,9.89,9.99,9.66,9.77,9.8,0.09,0.9184,3.399,22185414,218875774.21,6542000953.15,6455289349.59
2020-02-20,'300147,œ„—©÷∆“©,9.8,9.93,9.46,9.87,9.83,-0.03,-0.3052,4.1864,27324949,265062618.1,6482468083.0,6396545563.8
2020-02-19,'300147,œ„—©÷∆“©,9.83,10.24,9.82,10.24,10.27,-0.44,-4.2843,4.1725,27234295,271615482.75,6502312373.05,6416126825.73
2020-02-18,'300147,œ„—©÷∆“©,10.27,10.5,10.13,10.35,10.11,0.16,1.5826,3.984,26003677,266996038.09,6793361960.45,6703318667.37
2020-02-17,'300147,œ„—©÷∆“©,10.11,10.16,9.97,10.07,9.96,0.15,1.506,3.0225,19727913,198667446.86,6687525746.85,6598885270.41
2020-02-14,'300147,œ„—©÷∆“©,9.96,10.33,9.85,10.2,10.15,-0.19,-1.8719,3.7432,24432395,245233626.47,6588304296.6,6500978960.76
2020-02-13,'300147,œ„—©÷∆“©,10.15,10.74,10.0,10.68,10.57,-0.42,-3.9735,5.2803,34465149,353391452.22,6713984800.25,6624993619.65
2020-02-12,'300147,œ„—©÷∆“©,10.57,10.9,10.43,10.6,10.77,-0.2,-1.857,4.929,32171715,340772656.32,6991804860.95,6899131286.67
2020-02-11,'300147,œ„—©÷∆“©,10.77,10.87,10.37,10.63,10.63,0.14,1.317,5.0207,32770861,347397594.04,7124100127.95,7029673032.87
2020-02-10,'300147,œ„—©÷∆“©,10.63,11.56,10.48,11.56,11.6,-0.97,-8.3621,8.3948,54793570,591422732.9,7031493441.05,6938293810.53
2020-02-07,'300147,œ„—©÷∆“©,11.6,12.92,11.49,12.7,12.75,-1.15,-9.0196,11.826,77189346,931663568.58,7673125486.0,7571421279.6
2020-02-06,'300147,œ„—©÷∆“©,12.75,13.5,12.48,12.58,12.93,-0.18,-1.3921,14.2846,93236918,1215498659.87,8433823271.25,8322036320.25
2020-02-05,'300147,œ„—©÷∆“©,12.93,13.31,12.07,12.28,12.81,0.12,0.9368,13.9839,91274133,1166297695.07,8552889011.55,8439523891.83
2020-02-04,'300147,œ„—©÷∆“©,12.81,13.5,11.4,12.6,12.43,0.38,3.0571,15.7413,102745116,1288982113.41,8473511851.35,8361198844.11
2020-02-03,'300147,œ„—©÷∆“©,12.43,12.43,11.0,12.31,11.3,1.13,10.0,12.535,81816751,997327430.88,8222150844.05,8113169526.33
2020-01-23,'300147,œ„—©÷∆“©,11.3,11.59,10.42,10.49,10.57,0.73,6.9063,13.7891,90002442,995651901.32,7474682585.5,7375608660.3
2020-01-22,'300147,œ„—©÷∆“©,10.57,11.75,10.52,11.75,10.73,-0.16,-1.4911,17.211,112337960,1255518017.7,6991804860.95,6899131286.67
2020-01-21,'300147,œ„—©÷∆“©,10.73,10.73,10.5,10.72,9.75,0.98,10.0513,4.616,30128887,322916695.26,7097641074.55,7003564683.63
2020-01-20,'300147,œ„—©÷∆“©,9.75,9.75,9.42,9.75,8.86,0.89,10.0451,9.2465,60352891,585995056.1,6449394266.25,6363910127.25
2020-01-17,'300147,œ„—©÷∆“©,8.86,9.15,8.62,8.82,8.74,0.12,1.373,3.8197,24931233,221201422.61,5860680328.1,5782999356.66
2020-01-16,'300147,œ„—©÷∆“©,8.74,9.04,8.67,8.71,8.9,-0.16,-1.7978,3.3535,21888517,193108032.18,5781303167.9,5704674308.94
2020-01-15,'300147,œ„—©÷∆“©,8.9,9.36,8.8,9.31,9.24,-0.34,-3.6797,5.9329,38724818,348822454.85,5887139381.5,5809107705.9
2020-01-14,'300147,œ„—©÷∆“©,9.24,9.24,8.54,8.55,8.4,0.84,10.0,2.5889,16898037,153178950.77,6112041335.4,6031028674.44
2020-01-13,'300147,œ„—©÷∆“©,8.4,8.72,8.28,8.56,8.62,-0.22,-2.5522,3.3349,21767245,183300343.24,5556401214.0,5482753340.4
2020-01-10,'300147,œ„—©÷∆“©,8.62,8.72,8.38,8.47,8.47,0.15,1.771,3.4801,22714879,194220929.02,5701926007.7,5626349261.22
2020-01-09,'300147,œ„—©÷∆“©,8.47,8.6,8.38,8.6,8.4,0.07,0.8333,2.6376,17215977,145950509.33,5602704557.45,5528442951.57
2020-01-08,'300147,œ„—©÷∆“©,8.4,8.71,8.36,8.41,8.58,-0.18,-2.0979,3.4899,22778882,192852080.35,5556401214.0,5482753340.4
2020-01-07,'300147,œ„—©÷∆“©,8.58,8.75,8.29,8.34,8.39,0.19,2.2646,4.9537,32333303,277003429.08,5675466954.3,5600240911.98
2020-01-06,'300147,œ„—©÷∆“©,8.39,8.65,8.22,8.36,8.55,-0.16,-1.8713,4.6262,30195644,254673368.44,5549786450.65,5476226253.09
2020-01-03,'300147,œ„—©÷∆“©,8.55,8.72,8.52,8.65,8.89,-0.34,-3.8245,5.2046,33970699,292632606.66,5655622664.25,5580659650.05
