日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-27,'300018,中元股份,5.71,6.08,5.68,6.07,6.02,-0.31,-5.1495,8.2073,39463255,232428130.95,2755175130.56,2745548070.56
2020-03-26,'300018,中元股份,6.02,6.45,6.01,6.45,6.58,-0.56,-8.5106,9.633,46318355,288787795.35,2904755566.72,2894605846.72
2020-03-25,'300018,中元股份,6.58,6.76,6.41,6.69,6.62,-0.04,-0.6042,9.3207,44816644,293113806.84,3174965386.88,3163871506.88
2020-03-24,'300018,中元股份,6.62,6.78,6.22,6.74,6.61,0.01,0.1513,11.9876,57640069,373982168.04,3194266088.32,3183104768.32
2020-03-23,'300018,中元股份,6.61,6.98,6.42,6.5,6.71,-0.1,-1.4903,13.0198,62603461,423420752.7,3189440912.96,3178296452.96
2020-03-20,'300018,中元股份,6.71,7.14,6.39,6.5,6.5,0.21,3.2308,15.8649,76283503,512445014.06,3237692666.56,3226379606.56
2020-03-19,'300018,中元股份,6.5,6.59,6.01,6.08,6.18,0.32,5.178,10.9637,52716857,332289327.81,3136363984.0,3125404984.0
2020-03-18,'300018,中元股份,6.18,6.67,6.17,6.43,6.43,-0.25,-3.888,13.2555,63736459,405931176.68,2981958372.48,2971538892.48
2020-03-17,'300018,中元股份,6.43,6.54,5.83,6.1,6.07,0.36,5.9308,13.5619,65209880,409075978.11,3102587756.48,3091746776.48
2020-03-16,'300018,中元股份,6.07,6.69,6.07,6.69,6.74,-0.67,-9.9407,17.169,82553848,526325741.79,2928881443.52,2918647423.52
2020-03-13,'300018,中元股份,6.74,6.74,5.79,5.79,6.13,0.61,9.9511,20.7939,99983723,646349185.08,3252168192.64,3240804552.64
2020-03-12,'300018,中元股份,6.13,6.37,5.97,5.97,6.55,-0.42,-6.4122,15.7656,75805956,466255980.15,2957832495.68,2947497315.68
2020-03-11,'300018,中元股份,6.55,7.51,6.53,7.24,6.83,-0.28,-4.0996,26.4423,127142813,918146985.38,3160489860.8,3149446560.8
2020-03-10,'300018,中元股份,6.83,6.83,5.63,6.07,6.21,0.62,9.9839,16.2589,78178056,506455587.5,3295594770.88,3284079390.88
2020-03-09,'300018,中元股份,6.21,6.34,5.66,5.79,5.96,0.25,4.1946,12.4736,59976948,363614340.49,2996433898.56,2985963838.56
2020-03-06,'300018,中元股份,5.96,6.18,5.82,5.82,5.9,0.06,1.0169,9.42,45294299,272633897.41,2875804514.56,2865755954.56
2020-03-05,'300018,中元股份,5.9,6.3,5.86,6.0,5.96,-0.06,-1.0067,11.4993,55292288,334745025.2,2846853462.4,2836906062.4
2020-03-04,'300018,中元股份,5.96,6.16,5.61,5.64,5.72,0.24,4.1958,10.6475,51196528,300201370.36,2875804514.56,2865755954.56
2020-03-03,'300018,中元股份,5.72,5.98,5.57,5.63,5.58,0.14,2.509,10.6407,51163859,294414931.25,2760000305.92,2750356385.92
2020-03-02,'300018,中元股份,5.58,5.73,5.24,5.24,5.27,0.31,5.8824,8.6379,41533691,226715004.42,2692447850.88,2683039970.88
2020-02-28,'300018,中元股份,5.27,5.55,5.27,5.49,5.85,-0.58,-9.9145,10.9258,52534583,280772798.06,2542867414.72,2533982194.72
2020-02-27,'300018,中元股份,5.85,5.85,5.33,5.33,5.32,0.53,9.9624,11.8632,57042173,327272482.21,2822727585.6,2812864485.6
2020-02-26,'300018,中元股份,5.32,5.69,5.29,5.52,5.45,-0.13,-2.3853,5.8937,28338914,155489724.22,2566993291.52,2558023771.52
2020-02-25,'300018,中元股份,5.45,5.47,5.1,5.4,5.55,-0.1,-1.8018,5.9183,28456816,151818258.38,2629720571.2,2620531871.2
2020-02-24,'300018,中元股份,5.55,5.58,5.32,5.44,5.4,0.15,2.7778,5.5913,26884702,147508207.77,2677972324.8,2668615024.8
2020-02-21,'300018,中元股份,5.4,5.5,5.28,5.32,5.32,0.08,1.5038,5.1962,24985060,135002564.57,2605594694.4,2596490294.4
2020-02-20,'300018,中元股份,5.32,5.35,5.12,5.21,5.19,0.13,2.5048,4.1836,20116171,105981016.23,2566993291.52,2558023771.52
2020-02-19,'300018,中元股份,5.19,5.33,5.19,5.27,5.29,-0.1,-1.8904,3.1489,15140858,79713840.15,2504266011.84,2495515671.84
2020-02-18,'300018,中元股份,5.29,5.32,5.12,5.21,5.17,0.12,2.3211,4.1723,20061751,104998875.17,2552517765.44,2543598825.44
2020-02-17,'300018,中元股份,5.17,5.18,5.0,5.01,4.96,0.21,4.2339,3.6375,17490286,89495890.01,2494615661.12,2485899041.12
2020-02-14,'300018,中元股份,4.96,5.11,4.91,4.98,4.99,-0.03,-0.6012,2.2426,10782951,53785965.37,2393286978.56,2384924418.56
2020-02-13,'300018,中元股份,4.99,5.14,4.97,5.07,5.05,-0.06,-1.1881,3.7501,18031653,91043291.58,2407762504.64,2399349364.64
