日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-27,'300275,梅安森,9.95,10.17,9.9,10.08,9.95,0.0,0.0,0.9137,1500930,15027327.0,1672734300.0,1634546200.0
2020-03-26,'300275,梅安森,9.95,10.17,9.95,10.11,10.22,-0.27,-2.6419,1.2131,1992839,20018845.14,1672734300.0,1634546200.0
2020-03-25,'300275,梅安森,10.22,10.28,10.14,10.27,10.1,0.12,1.1881,1.2888,2117247,21627927.34,1718125080.0,1678900720.0
2020-03-24,'300275,梅安森,10.1,10.15,9.83,10.14,9.98,0.12,1.2024,1.205,1979506,19843036.58,1697951400.0,1659187600.0
2020-03-23,'300275,梅安森,9.98,10.22,9.85,10.05,10.32,-0.34,-3.2946,1.4224,2336700,23350369.0,1677777720.0,1639474480.0
2020-03-20,'300275,梅安森,10.32,10.41,10.11,10.24,10.23,0.09,0.8798,1.2014,1973600,20240573.0,1734936480.0,1695328320.0
2020-03-19,'300275,梅安森,10.23,10.25,9.9,10.08,10.08,0.15,1.4881,1.4209,2334137,23587282.7,1719806220.0,1680543480.0
2020-03-18,'300275,梅安森,10.08,10.54,10.08,10.45,10.34,-0.26,-2.5145,1.93,3170500,32665975.54,1694589120.0,1655902080.0
2020-03-17,'300275,梅安森,10.34,10.47,10.1,10.47,10.29,0.05,0.4859,1.5959,2621701,26893748.41,1738298760.0,1698613840.0
2020-03-16,'300275,梅安森,10.29,11.05,10.28,10.83,10.75,-0.46,-4.2791,2.3993,3941546,41956534.38,1729893060.0,1690400040.0
2020-03-13,'300275,梅安森,10.75,10.89,10.42,10.5,11.02,-0.27,-2.4501,2.5482,4186079,44477568.67,1807225500.0,1765967000.0
2020-03-12,'300275,梅安森,11.02,11.22,10.9,11.18,11.27,-0.25,-2.2183,2.2292,3662100,40434665.0,1852616280.0,1810321520.0
2020-03-11,'300275,梅安森,11.27,11.67,11.23,11.54,11.44,-0.17,-1.486,2.4528,4029324,46197972.6,1894644780.0,1851390520.0
2020-03-10,'300275,梅安森,11.44,11.48,10.9,11.19,11.2,0.24,2.1429,3.2728,5376362,60642256.75,1923224160.0,1879317440.0
2020-03-09,'300275,梅安森,11.2,11.66,11.19,11.41,11.67,-0.47,-4.0274,3.2615,5357800,61043215.0,1882876800.0,1839891200.0
2020-03-06,'300275,梅安森,11.67,11.85,11.45,11.5,11.67,0.0,0.0,2.9488,4844200,56622918.0,1961890380.0,1917100920.0
2020-03-05,'300275,梅安森,11.67,11.75,11.45,11.59,11.44,0.23,2.0105,3.3452,5495400,63653588.55,1961890380.0,1917100920.0
2020-03-04,'300275,梅安森,11.44,11.46,11.15,11.21,11.44,0.0,0.0,3.0925,5080245,57444851.55,1923224160.0,1879317440.0
2020-03-03,'300275,梅安森,11.44,12.2,11.33,12.2,11.16,0.28,2.509,5.4182,8900770,104157476.29,1923224160.0,1879317440.0
2020-03-02,'300275,梅安森,11.16,11.26,10.89,11.07,10.7,0.46,4.2991,2.1839,3587700,39943152.01,1876152240.0,1833320160.0
2020-02-28,'300275,梅安森,10.7,11.38,10.67,11.08,11.58,-0.88,-7.5993,3.5907,5898700,65001437.0,1798819800.0,1757753200.0
2020-02-27,'300275,梅安森,11.58,11.75,11.45,11.45,11.42,0.16,1.4011,2.7303,4485200,52098134.0,1946760120.0,1902316080.0
2020-02-26,'300275,梅安森,11.42,11.9,11.42,11.64,11.73,-0.31,-2.6428,3.5688,5862645,68397041.35,1919861880.0,1876031920.0
2020-02-25,'300275,梅安森,11.73,11.85,11.11,11.61,11.92,-0.19,-1.594,3.9672,6517145,75638786.05,1971977220.0,1926957480.0
2020-02-24,'300275,梅安森,11.92,11.97,11.53,11.65,11.73,0.19,1.6198,3.4739,5706800,67303192.0,2003918880.0,1958169920.0
2020-02-21,'300275,梅安森,11.73,11.78,11.48,11.48,11.53,0.2,1.7346,3.631,5964800,69626781.0,1971977220.0,1926957480.0
2020-02-20,'300275,梅安森,11.53,11.57,11.2,11.4,11.28,0.25,2.2163,2.9823,4899248,56112634.59,1938354420.0,1894102280.0
2020-02-19,'300275,梅安森,11.28,11.56,11.23,11.3,11.35,-0.07,-0.6167,2.8634,4703847,53582979.98,1896325920.0,1853033280.0
2020-02-18,'300275,梅安森,11.35,11.35,11.07,11.15,11.12,0.23,2.0683,3.0853,5068479,56945878.76,1908093900.0,1864532600.0
2020-02-17,'300275,梅安森,11.12,11.21,10.75,10.8,10.67,0.45,4.2174,3.002,4931600,54435052.0,1869427680.0,1826749120.0
2020-02-14,'300275,梅安森,10.67,10.81,10.46,10.61,10.65,0.02,0.1878,1.6199,2661037,28363622.61,1793776380.0,1752824920.0
2020-02-13,'300275,梅安森,10.65,10.91,10.63,10.9,10.87,-0.22,-2.0239,1.7122,2812700,30147317.0,1790414100.0,1749539400.0
2020-02-12,'300275,梅安森,10.87,10.95,10.62,10.75,10.74,0.13,1.2104,1.9676,3232300,34818384.0,1827399180.0,1785680120.0
2020-02-11,'300275,梅安森,10.74,11.1,10.69,11.0,10.95,-0.21,-1.9178,1.687,2771259,29898458.63,1805544360.0,1764324240.0
2020-02-10,'300275,梅安森,10.95,10.97,10.67,10.76,10.79,0.16,1.4829,1.7845,2931560,31835120.33,1840848300.0,1798822200.0
2020-02-07,'300275,梅安森,10.79,10.85,10.5,10.71,10.7,0.09,0.8411,2.269,3727468,39829508.0,1813950060.0,1772538040.0
2020-02-06,'300275,梅安森,10.7,10.83,10.3,10.55,10.55,0.15,1.4218,2.0874,3429079,36578586.41,1798819800.0,1757753200.0
2020-02-05,'300275,梅安森,10.55,10.74,10.18,10.2,10.15,0.4,3.9409,2.3693,3892269,40812863.01,1773602700.0,1733111800.0
2020-02-04,'300275,梅安森,10.15,10.39,9.57,10.0,10.59,-0.44,-4.1549,2.9571,4857812,49044805.66,1706357100.0,1667401400.0
2020-02-03,'300275,梅安森,10.59,10.59,10.59,10.59,11.77,-1.18,-10.0255,0.3091,507700,5376543.0,1780327260.0,1739682840.0
2020-01-23,'300275,梅安森,11.77,12.5,11.42,12.5,12.52,-0.75,-5.9904,3.6389,5977900,70606579.15,1978701780.0,1933528520.0
2020-01-22,'300275,梅安森,12.52,12.63,11.9,12.25,12.4,0.12,0.9677,2.7085,4449483,54532524.83,2104787280.0,2056735520.0
2020-01-21,'300275,梅安森,12.4,12.88,12.31,12.88,12.79,-0.39,-3.0493,1.935,3178711,39852943.49,2084613600.0,2037022400.0
2020-01-20,'300275,梅安森,12.79,12.9,12.65,12.65,12.56,0.23,1.8312,1.7258,2835000,36150513.22,2150178060.0,2101090040.0
2020-01-17,'300275,梅安森,12.56,12.8,12.54,12.7,12.74,-0.18,-1.4129,2.0348,3342700,42319213.86,2111511840.0,2063306560.0
2020-01-16,'300275,梅安森,12.74,13.08,12.6,12.95,12.82,-0.08,-0.624,1.9289,3168801,40448062.69,2141772360.0,2092876240.0
2020-01-15,'300275,梅安森,12.82,13.25,12.73,12.98,13.12,-0.3,-2.2866,2.5655,4214500,54374939.0,2155221480.0,2106018320.0
2020-01-14,'300275,梅安森,13.12,13.45,12.98,13.06,13.04,0.08,0.6135,5.9606,9791858,129494838.4,2205655680.0,2155301120.0
2020-01-13,'300275,梅安森,13.04,13.15,12.8,12.82,13.05,-0.01,-0.0766,2.9784,4892810,63643601.92,2192206560.0,2142159040.0
2020-01-10,'300275,梅安森,13.05,13.2,12.88,13.09,13.15,-0.1,-0.7605,2.0808,3418200,44547310.0,2193887700.0,2143801800.0
2020-01-09,'300275,梅安森,13.15,13.21,12.83,12.92,12.78,0.37,2.8951,3.65,5996087,78185219.3,2210699100.0,2160229400.0
2020-01-08,'300275,梅安森,12.78,13.29,12.72,13.1,13.15,-0.37,-2.8137,4.4487,7308200,94449340.0,2148496920.0,2099447280.0
2020-01-07,'300275,梅安森,13.15,13.44,13.0,13.32,13.3,-0.15,-1.1278,4.7894,7867835,103392136.34,2210699100.0,2160229400.0
2020-01-06,'300275,梅安森,13.3,13.4,12.89,12.92,13.08,0.22,1.682,5.618,9228980,121263009.7,2235916200.0,2184870800.0
2020-01-03,'300275,梅安森,13.08,13.16,12.54,12.59,12.57,0.51,4.0573,6.2413,10252894,131933519.5,2198931120.0,2148730080.0
