日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-27,'601515,东风股份,6.14,6.31,6.08,6.31,6.25,-0.11,-1.76,0.4145,5530866,34325761.0,8193216000.0,8193216000.0
2020-03-26,'601515,东风股份,6.25,6.38,6.22,6.27,6.3,-0.05,-0.7937,0.4037,5386580,33923124.0,8340000000.0,8340000000.0
2020-03-25,'601515,东风股份,6.3,6.4,6.25,6.4,6.22,0.08,1.2862,0.3892,5193126,32711195.0,8406720000.0,8406720000.0
2020-03-24,'601515,东风股份,6.22,6.3,6.1,6.23,6.11,0.11,1.8003,0.3427,4572860,28380529.0,8299968000.0,8299968000.0
2020-03-23,'601515,东风股份,6.11,6.36,6.11,6.25,6.31,-0.2,-3.1696,0.5054,6743600,42092775.0,8153184000.0,8153184000.0
2020-03-20,'601515,东风股份,6.31,6.36,6.01,6.12,6.0,0.31,5.1667,0.7335,9788192,60681822.0,8420064000.0,8420064000.0
2020-03-19,'601515,东风股份,6.0,6.06,5.89,5.9,5.94,0.06,1.0101,0.4873,6502577,38721830.0,8006400000.0,8006400000.0
2020-03-18,'601515,东风股份,5.94,6.21,5.92,6.12,6.13,-0.19,-3.0995,0.653,8713010,53194014.0,7926336000.0,7926336000.0
2020-03-17,'601515,东风股份,6.13,6.4,5.72,6.3,6.3,-0.17,-2.6984,0.8456,11283580,68189105.0,8179872000.0,8179872000.0
2020-03-16,'601515,东风股份,6.3,6.75,6.24,6.6,6.62,-0.32,-4.8338,0.8576,11443310,74627142.0,8406720000.0,8406720000.0
2020-03-13,'601515,东风股份,6.62,6.77,6.25,6.42,6.83,-0.21,-3.0747,1.1428,15249625,98242695.0,8833728000.0,8833728000.0
2020-03-12,'601515,东风股份,6.83,7.15,6.75,7.03,7.22,-0.39,-5.4017,1.3564,18099983,124893738.0,9113952000.0,9113952000.0
2020-03-11,'601515,东风股份,7.22,7.46,7.11,7.2,7.19,0.03,0.4172,1.5257,20358915,147573703.0,9634368000.0,9634368000.0
2020-03-10,'601515,东风股份,7.19,7.85,7.07,7.5,7.47,-0.28,-3.7483,3.3042,44090691,327813896.0,9594336000.0,9594336000.0
2020-03-09,'601515,东风股份,7.47,7.47,6.83,6.83,6.79,0.68,10.0147,3.3567,44791230,321975358.0,9967968000.0,9967968000.0
2020-03-06,'601515,东风股份,6.79,6.84,6.46,6.51,6.6,0.19,2.8788,1.1933,15923604,106978040.0,9060576000.0,9060576000.0
2020-03-05,'601515,东风股份,6.6,6.66,6.45,6.59,6.44,0.16,2.4845,0.7583,10118633,66031243.0,8807040000.0,8807040000.0
2020-03-04,'601515,东风股份,6.44,6.45,6.33,6.45,6.43,0.01,0.1555,0.4983,6649228,42476283.0,8593536000.0,8593536000.0
2020-03-03,'601515,东风股份,6.43,6.5,6.24,6.25,6.22,0.21,3.3762,0.8361,11156575,71202211.0,8580192000.0,8580192000.0
2020-03-02,'601515,东风股份,6.22,6.24,6.07,6.07,6.08,0.14,2.3026,0.3638,4854830,29998164.0,8299968000.0,8299968000.0
2020-02-28,'601515,东风股份,6.08,6.3,6.06,6.3,6.35,-0.27,-4.252,0.5026,6706376,41260820.0,8113152000.0,8113152000.0
2020-02-27,'601515,东风股份,6.35,6.43,6.33,6.36,6.36,-0.01,-0.1572,0.2848,3800419,24241971.0,8473440000.0,8473440000.0
2020-02-26,'601515,东风股份,6.36,6.45,6.3,6.3,6.41,-0.05,-0.78,0.3994,5329592,34091086.0,8486784000.0,8486784000.0
2020-02-25,'601515,东风股份,6.41,6.43,6.2,6.3,6.49,-0.08,-1.2327,0.5846,7800292,49488869.0,8553504000.0,8553504000.0
2020-02-24,'601515,东风股份,6.49,6.58,6.42,6.49,6.46,0.03,0.4644,0.4843,6462179,41987650.0,8660256000.0,8660256000.0
2020-02-21,'601515,东风股份,6.46,6.63,6.34,6.38,6.32,0.14,2.2152,0.675,9006879,58302090.0,8620224000.0,8620224000.0
2020-02-20,'601515,东风股份,6.32,6.36,6.15,6.2,6.2,0.12,1.9355,0.488,6511522,40700180.0,8433408000.0,8433408000.0
2020-02-19,'601515,东风股份,6.2,6.25,6.18,6.25,6.25,-0.05,-0.8,0.3757,5013835,31142405.0,8273280000.0,8273280000.0
2020-02-18,'601515,东风股份,6.25,6.28,6.19,6.23,6.23,0.02,0.321,0.3713,4954618,30911177.0,8340000000.0,8340000000.0
2020-02-17,'601515,东风股份,6.23,6.25,6.09,6.09,6.09,0.14,2.2989,0.4003,5341672,33129142.0,8313312000.0,8313312000.0
2020-02-14,'601515,东风股份,6.09,6.15,6.03,6.14,6.08,0.01,0.1645,0.3299,4402842,26720822.0,8126496000.0,8126496000.0
2020-02-13,'601515,东风股份,6.08,6.27,6.06,6.27,6.28,-0.2,-3.1847,0.5689,7591002,46602370.0,8113152000.0,8113152000.0
2020-02-12,'601515,东风股份,6.28,6.35,6.22,6.35,6.27,0.01,0.1595,0.4062,5420874,33951660.0,8380032000.0,8380032000.0
2020-02-11,'601515,东风股份,6.27,6.48,6.22,6.47,6.47,-0.2,-3.0912,0.5587,7455200,47024219.0,8366688000.0,8366688000.0
2020-02-10,'601515,东风股份,6.47,6.65,6.41,6.5,6.73,-0.26,-3.8633,0.9857,13153821,85216620.0,8633568000.0,8633568000.0
2020-02-07,'601515,东风股份,6.73,6.87,6.4,6.53,6.36,0.37,5.8176,1.8548,24750961,164877093.0,8980512000.0,8980512000.0
2020-02-06,'601515,东风股份,6.36,6.36,6.0,6.36,5.78,0.58,10.0346,0.8207,10950941,68791429.0,8486784000.0,8486784000.0
2020-02-05,'601515,东风股份,5.78,5.89,5.65,5.74,5.7,0.08,1.4035,0.4056,5412779,31391285.0,7712832000.0,7712832000.0
2020-02-04,'601515,东风股份,5.7,5.85,5.26,5.26,5.76,-0.06,-1.0417,0.533,7111817,40216523.0,7606080000.0,7606080000.0
2020-02-03,'601515,东风股份,5.76,5.8,5.76,5.76,6.4,-0.64,-10.0,0.4135,5517900,31790570.0,7686144000.0,7686144000.0
2020-01-23,'601515,东风股份,6.4,6.68,6.31,6.68,6.74,-0.34,-5.0445,0.6041,8061576,52063153.0,8540160000.0,8540160000.0
2020-01-22,'601515,东风股份,6.74,6.82,6.55,6.71,6.79,-0.05,-0.7364,0.5021,6699548,44477271.0,8993856000.0,8993856000.0
2020-01-21,'601515,东风股份,6.79,6.87,6.77,6.84,6.85,-0.06,-0.8759,0.2955,3942643,26847528.0,9060576000.0,9060576000.0
2020-01-20,'601515,东风股份,6.85,6.88,6.78,6.84,6.82,0.03,0.4399,0.266,3549496,24296046.0,9140640000.0,9140640000.0
2020-01-17,'601515,东风股份,6.82,6.9,6.81,6.81,6.85,-0.03,-0.438,0.2005,2675023,18329514.0,9100608000.0,9100608000.0
2020-01-16,'601515,东风股份,6.85,6.95,6.79,6.92,6.91,-0.06,-0.8683,0.3722,4966020,33928233.0,9140640000.0,9140640000.0
2020-01-15,'601515,东风股份,6.91,7.05,6.9,7.04,7.04,-0.13,-1.8466,0.4376,5839069,40553649.0,9220704000.0,9220704000.0
2020-01-14,'601515,东风股份,7.04,7.05,6.89,6.92,6.91,0.13,1.8813,0.6976,9308637,65160995.0,9394176000.0,9394176000.0
2020-01-13,'601515,东风股份,6.91,6.94,6.85,6.86,6.87,0.04,0.5822,0.4157,5546600,38324731.0,9220704000.0,9220704000.0
2020-01-10,'601515,东风股份,6.87,6.9,6.82,6.88,6.88,-0.01,-0.1453,0.2778,3706889,25435434.0,9167328000.0,9167328000.0
2020-01-09,'601515,东风股份,6.88,6.91,6.79,6.86,6.81,0.07,1.0279,0.4344,5796323,39718470.0,9180672000.0,9180672000.0
2020-01-08,'601515,东风股份,6.81,6.95,6.81,6.85,6.88,-0.07,-1.0174,0.6671,8901129,61148616.0,9087264000.0,9087264000.0
2020-01-07,'601515,东风股份,6.88,6.9,6.81,6.83,6.8,0.08,1.1765,0.5586,7454483,51169419.0,9180672000.0,9180672000.0
2020-01-06,'601515,东风股份,6.8,6.89,6.78,6.81,6.84,-0.04,-0.5848,0.5353,7142620,48817179.0,9073920000.0,9073920000.0
2020-01-03,'601515,东风股份,6.84,6.86,6.76,6.8,6.79,0.05,0.7364,0.361,4817292,32780912.0,9127296000.0,9127296000.0
