日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-26,'000551,创元科技,8.12,8.46,8.08,8.43,8.6,-0.48,-5.5814,4.0268,16110574,133133127.68,3248652888.6,3248652888.6
2020-03-25,'000551,创元科技,8.6,8.82,8.31,8.39,8.27,0.33,3.9903,5.7561,23029210,197232860.85,3440691483.0,3440691483.0
2020-03-24,'000551,创元科技,8.27,8.5,7.91,8.06,7.8,0.47,6.0256,4.1762,16708252,136966891.55,3308664949.35,3308664949.35
2020-03-23,'000551,创元科技,7.8,8.2,7.8,8.05,8.26,-0.46,-5.569,3.2121,12851077,103362211.26,3120627159.0,3120627159.0
2020-03-20,'000551,创元科技,8.26,8.27,7.82,7.89,7.79,0.47,6.0334,3.6021,14411138,117038340.48,3304664145.3,3304664145.3
2020-03-19,'000551,创元科技,7.79,8.02,7.37,7.94,8.0,-0.21,-2.625,3.7522,15011764,115608356.59,3116626354.95,3116626354.95
2020-03-18,'000551,创元科技,8.0,8.46,7.96,8.15,8.07,-0.07,-0.8674,3.8731,15495452,127518211.57,3200643240.0,3200643240.0
2020-03-17,'000551,创元科技,8.07,8.22,7.63,7.77,7.67,0.4,5.2151,3.5292,14119631,112290547.84,3228648868.35,3228648868.35
2020-03-16,'000551,创元科技,7.67,8.34,7.65,7.95,7.87,-0.2,-2.5413,3.1563,12627608,101519155.42,3068616706.35,3068616706.35
2020-03-13,'000551,创元科技,7.87,7.93,7.37,7.5,7.95,-0.08,-1.0063,2.2247,8900482,68094827.21,3148632787.35,3148632787.35
2020-03-12,'000551,创元科技,7.95,8.21,7.84,8.21,8.19,-0.24,-2.9304,2.1022,8410687,67696143.85,3180639219.75,3180639219.75
2020-03-11,'000551,创元科技,8.19,8.56,8.13,8.13,8.16,0.03,0.3676,3.027,12110417,100737524.8,3276658516.95,3276658516.95
2020-03-10,'000551,创元科技,8.16,8.17,7.65,7.75,8.01,0.15,1.8727,2.9429,11773906,93531557.32,3264656104.8,3264656104.8
2020-03-09,'000551,创元科技,8.01,8.63,7.97,8.63,8.29,-0.28,-3.3776,3.7974,15192678,126127633.95,3204644044.05,3204644044.05
2020-03-06,'000551,创元科技,8.29,8.4,8.1,8.11,8.21,0.08,0.9744,2.8269,11309922,93612730.79,3316666557.45,3316666557.45
2020-03-05,'000551,创元科技,8.21,8.3,7.9,7.91,7.91,0.3,3.7927,3.1087,12437448,101319041.96,3284660125.05,3284660125.05
2020-03-04,'000551,创元科技,7.91,8.09,7.74,7.85,7.85,0.06,0.7643,1.62,6481486,51312386.05,3164636003.55,3164636003.55
2020-03-03,'000551,创元科技,7.85,8.03,7.72,7.82,7.72,0.13,1.6839,2.0458,8184994,64560499.66,3140631179.25,3140631179.25
2020-03-02,'000551,创元科技,7.72,7.79,7.49,7.57,7.5,0.22,2.9333,1.8014,7206974,55199796.92,3088620726.6,3088620726.6
2020-02-28,'000551,创元科技,7.5,7.91,7.45,7.68,8.14,-0.64,-7.8624,2.5268,10109116,77723020.93,3000603037.5,3000603037.5
2020-02-27,'000551,创元科技,8.14,8.33,7.95,8.3,8.25,-0.11,-1.3333,2.3064,9227599,75020787.82,3256654496.7,3256654496.7
