日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-26,'002491,通鼎互联,6.6,6.88,6.51,6.84,6.94,-0.34,-4.8991,2.639,32515998,217493340.15,8326250750.4,8131976886.0
2020-03-25,'002491,通鼎互联,6.94,7.06,6.78,6.91,6.89,0.05,0.7257,3.6449,44909220,310801996.69,8755178819.36,8550896907.4
2020-03-24,'002491,通鼎互联,6.89,6.92,6.36,6.76,6.64,0.25,3.7651,4.4429,54742037,368020802.73,8692101162.16,8489291021.9
2020-03-23,'002491,通鼎互联,6.64,6.81,6.31,6.39,6.56,0.08,1.2195,3.374,41571189,274558972.23,8376712876.16,8181261594.4
2020-03-20,'002491,通鼎互联,6.56,6.8,6.48,6.72,6.67,-0.11,-1.6492,2.1838,26906873,178166285.27,8275788624.64,8082692177.6
2020-03-19,'002491,通鼎互联,6.67,6.75,6.2,6.4,6.45,0.22,3.4109,3.3211,40919451,263877970.52,8414559470.48,8218225125.7
2020-03-18,'002491,通鼎互联,6.45,6.95,6.45,6.85,6.76,-0.31,-4.5858,3.2735,40333032,270403151.06,8137017778.8,7947159229.5
2020-03-17,'002491,通鼎互联,6.76,6.97,6.43,6.7,6.65,0.11,1.6541,3.4318,42284256,283840876.91,8528099253.44,8329115719.6
2020-03-16,'002491,通鼎互联,6.65,7.3,6.5,7.3,7.2,-0.55,-7.6389,4.3474,53564631,369658989.81,8389328407.6,8193582771.5
2020-03-13,'002491,通鼎互联,7.2,7.33,6.55,6.55,6.95,0.25,3.5971,5.2469,64647865,457710306.55,9083182636.8,8871247512.0
2020-03-12,'002491,通鼎互联,6.95,7.05,6.51,6.7,6.89,0.06,0.8708,3.6984,45568745,311490257.28,8767794350.8,8563218084.5
2020-03-11,'002491,通鼎互联,6.89,7.41,6.85,7.0,7.13,-0.24,-3.3661,6.0504,74548267,528517417.77,8692101162.16,8489291021.9
2020-03-10,'002491,通鼎互联,7.13,7.15,6.32,6.37,6.5,0.63,9.6923,6.6054,81385767,556497931.23,8994873916.72,8784999272.3
2020-03-09,'002491,通鼎互联,6.5,6.93,6.41,6.49,6.53,-0.03,-0.4594,3.4021,41917885,278763017.45,8200095436.0,8008765115.0
2020-03-06,'002491,通鼎互联,6.53,6.7,6.48,6.5,6.82,-0.29,-4.2522,4.0225,49561815,325506800.09,8237942030.32,8045728646.3
2020-03-05,'002491,通鼎互联,6.82,6.91,6.47,6.53,6.28,0.54,8.5987,6.636,81763900,546844977.36,8603792442.08,8403042782.2
2020-03-04,'002491,通鼎互联,6.28,6.43,6.14,6.21,6.25,0.03,0.48,2.4503,30189986,189521235.81,7922553744.32,7737699218.8
2020-03-03,'002491,通鼎互联,6.25,6.54,6.16,6.48,6.16,0.09,1.461,4.3452,53538423,340788529.03,7884707150.0,7700735687.5
2020-03-02,'002491,通鼎互联,6.16,6.16,5.55,5.57,5.6,0.56,10.0,2.4001,29572656,175102338.56,7771167367.04,7589845093.6
2020-02-28,'002491,通鼎互联,5.6,5.96,5.57,5.9,6.08,-0.48,-7.8947,2.4529,30222946,173866697.08,7064697606.4,6899859176.0
2020-02-27,'002491,通鼎互联,6.08,6.27,6.0,6.16,6.16,-0.08,-1.2987,2.0206,24896214,152340547.14,7670243115.52,7491275676.8
2020-02-26,'002491,通鼎互联,6.16,6.6,6.13,6.31,6.46,-0.3,-4.644,3.3209,40917966,261108067.92,7771167367.04,7589845093.6
2020-02-25,'002491,通鼎互联,6.46,6.48,6.03,6.2,6.4,0.06,0.9375,3.2349,39857822,249942846.32,8149633310.24,7959480406.6
2020-02-24,'002491,通鼎互联,6.4,6.43,6.04,6.15,6.07,0.33,5.4366,3.254,40092541,251756419.02,8073940121.6,7885553344.0
2020-02-21,'002491,通鼎互联,6.07,6.13,5.88,5.91,5.92,0.15,2.5338,1.8806,23171045,140150499.64,7657627584.08,7478954499.7
2020-02-20,'002491,通鼎互联,5.92,5.93,5.76,5.89,5.83,0.09,1.5437,1.6227,19993364,117195148.21,7468394612.48,7294136843.2
2020-02-19,'002491,通鼎互联,5.83,6.02,5.81,5.86,5.93,-0.1,-1.6863,1.5818,19489724,115052974.9,7354854829.52,7183246249.3
2020-02-18,'002491,通鼎互联,5.93,5.94,5.7,5.72,5.72,0.21,3.6713,2.3626,29109961,170126594.55,7481010143.92,7306458020.3
2020-02-17,'002491,通鼎互联,5.72,5.75,5.48,5.52,5.47,0.25,4.5704,2.0957,25821696,146290412.6,7216083983.68,7047713301.2
2020-02-14,'002491,通鼎互联,5.47,5.52,5.38,5.45,5.46,0.01,0.1832,1.2776,15741446,85732551.31,6900695697.68,6739683873.7
2020-02-13,'002491,通鼎互联,5.46,5.63,5.45,5.57,5.55,-0.09,-1.6216,1.4048,17308237,95470254.16,6888080166.24,6727362696.6
2020-02-12,'002491,通鼎互联,5.55,5.57,5.4,5.44,5.5,0.05,0.9091,1.8772,23129799,127274349.65,7001619949.2,6838253290.5
2020-02-11,'002491,通鼎互联,5.5,5.58,5.43,5.52,5.52,-0.02,-0.3623,1.6332,20123131,110372370.11,6938542292.0,6776647405.0
2020-02-10,'002491,通鼎互联,5.52,5.54,5.38,5.43,5.48,0.04,0.7299,1.7365,21395192,116943366.71,6963773354.88,6801289759.2
2020-02-07,'002491,通鼎互联,5.48,5.5,5.24,5.28,5.28,0.2,3.7879,2.7057,33336869,179520587.46,6913311229.12,6752005050.8
2020-02-06,'002491,通鼎互联,5.28,5.32,5.12,5.22,5.21,0.07,1.3436,2.521,31061195,162216057.24,6661000600.32,6505581508.8
2020-02-05,'002491,通鼎互联,5.21,5.33,5.16,5.19,5.19,0.02,0.3854,2.5007,30812173,161420294.39,6572691880.24,6419333269.1
2020-02-04,'002491,通鼎互联,5.19,5.43,5.19,5.19,5.77,-0.58,-10.052,3.6878,45437872,236838230.29,6547460817.36,6394690914.9
2020-02-03,'002491,通鼎互联,5.77,5.77,5.77,5.77,6.41,-0.64,-9.9844,0.1337,1647900,9508383.0,7279161640.88,7109319186.7
2020-01-23,'002491,通鼎互联,6.41,6.6,6.39,6.58,6.63,-0.22,-3.3183,1.2902,15897374,102947193.89,8086555653.04,7897874521.1
2020-01-22,'002491,通鼎互联,6.63,6.63,6.42,6.55,6.58,0.05,0.7599,1.2757,15717640,102449484.27,8364097344.72,8168940417.3
2020-01-21,'002491,通鼎互联,6.58,6.68,6.58,6.67,6.66,-0.08,-1.2012,1.0055,12388371,81859379.86,8301019687.52,8107334531.8
2020-01-20,'002491,通鼎互联,6.66,6.69,6.55,6.67,6.66,0.0,0.0,1.717,21155709,139640875.14,8401943939.04,8205903948.6
2020-01-17,'002491,通鼎互联,6.66,6.83,6.65,6.83,6.79,-0.13,-1.9146,1.2913,15910585,107103330.44,8401943939.04,8205903948.6
2020-01-16,'002491,通鼎互联,6.79,6.94,6.79,6.9,6.9,-0.11,-1.5942,0.9626,11860340,81233829.63,8565945847.76,8366079250.9
