�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2020-03-26,'600687,*ST試怍,1.19,1.25,1.19,1.24,1.25,-0.06,-4.8,1.1792,17554846,21182733.0,1771571211.76,1771571211.76
2020-03-25,'600687,*ST試怍,1.25,1.25,1.18,1.2,1.19,0.06,5.042,1.1649,17342244,21310800.0,1860894130.0,1860894130.0
2020-03-24,'600687,*ST試怍,1.19,1.19,1.15,1.16,1.13,0.06,5.3097,1.1392,16958742,19998600.0,1771571211.76,1771571211.76
2020-03-23,'600687,*ST試怍,1.13,1.17,1.12,1.15,1.18,-0.05,-4.2373,0.7457,11101380,12675718.0,1682248293.52,1682248293.52
2020-03-20,'600687,*ST試怍,1.18,1.18,1.13,1.14,1.13,0.05,4.4248,0.6441,9589102,11025264.0,1756684058.72,1756684058.72
2020-03-19,'600687,*ST試怍,1.13,1.16,1.11,1.15,1.16,-0.03,-2.5862,0.6032,8979982,10179037.0,1682248293.52,1682248293.52
2020-03-18,'600687,*ST試怍,1.16,1.21,1.15,1.19,1.19,-0.03,-2.521,0.6118,9108620,10812940.0,1726909752.64,1726909752.64
2020-03-17,'600687,*ST試怍,1.19,1.22,1.16,1.21,1.22,-0.03,-2.459,0.7039,10478325,12454479.0,1771571211.76,1771571211.76
2020-03-16,'600687,*ST試怍,1.22,1.27,1.22,1.24,1.24,-0.02,-1.6129,0.7363,10962060,13617046.0,1816232670.88,1816232670.88
2020-03-13,'600687,*ST試怍,1.24,1.25,1.21,1.21,1.27,-0.03,-2.3622,1.0569,15734589,19184619.0,1846006976.96,1846006976.96
2020-03-12,'600687,*ST試怍,1.27,1.29,1.26,1.28,1.3,-0.03,-2.3077,0.5816,8658900,11029507.0,1890668436.08,1890668436.08
2020-03-11,'600687,*ST試怍,1.3,1.33,1.29,1.3,1.3,0.0,0.0,0.7191,10705284,14041149.0,1935329895.2,1935329895.2
2020-03-10,'600687,*ST試怍,1.3,1.31,1.26,1.27,1.3,0.0,0.0,0.7325,10904700,13980015.0,1935329895.2,1935329895.2
2020-03-09,'600687,*ST試怍,1.3,1.35,1.29,1.34,1.35,-0.05,-3.7037,0.9007,13409589,17588177.0,1935329895.2,1935329895.2
2020-03-06,'600687,*ST試怍,1.35,1.35,1.31,1.32,1.33,0.02,1.5038,0.7484,11141500,14809312.0,2009765660.4,2009765660.4
2020-03-05,'600687,*ST試怍,1.33,1.34,1.3,1.3,1.31,0.02,1.5267,0.8831,13147220,17311820.0,1979991354.32,1979991354.32
2020-03-04,'600687,*ST試怍,1.31,1.33,1.29,1.29,1.28,0.03,2.3438,0.7896,11754840,15437331.0,1950217048.24,1950217048.24
2020-03-03,'600687,*ST試怍,1.28,1.3,1.28,1.28,1.28,0.0,0.0,0.641,9542540,12306714.0,1905555589.12,1905555589.12
2020-03-02,'600687,*ST試怍,1.28,1.29,1.24,1.24,1.26,0.02,1.5873,0.8065,12006400,15168551.0,1905555589.12,1905555589.12
2020-02-28,'600687,*ST試怍,1.26,1.31,1.26,1.3,1.33,-0.07,-5.2632,1.15,17119900,21882762.0,1875781283.04,1875781283.04
2020-02-27,'600687,*ST試怍,1.33,1.35,1.32,1.35,1.35,-0.02,-1.4815,0.5122,7625740,10168021.0,1979991354.32,1979991354.32
2020-02-26,'600687,*ST試怍,1.35,1.35,1.31,1.32,1.34,0.01,0.7463,0.7995,11902097,15829765.0,2009765660.4,2009765660.4
2020-02-25,'600687,*ST試怍,1.34,1.35,1.31,1.33,1.37,-0.03,-2.1898,0.9154,13627782,18164515.0,1994878507.36,1994878507.36
2020-02-24,'600687,*ST試怍,1.37,1.43,1.35,1.4,1.39,-0.02,-1.4388,1.1286,16801569,23354288.0,2039539966.48,2039539966.48
2020-02-21,'600687,*ST試怍,1.39,1.41,1.38,1.38,1.38,0.01,0.7246,0.924,13756420,19163939.0,2069314272.56,2069314272.56
2020-02-20,'600687,*ST試怍,1.38,1.4,1.36,1.38,1.4,-0.02,-1.4286,0.9075,13510394,18625454.0,2054427119.52,2054427119.52
2020-02-19,'600687,*ST試怍,1.4,1.42,1.34,1.36,1.36,0.04,2.9412,1.5091,22466721,30907628.0,2084201425.6,2084201425.6
2020-02-18,'600687,*ST試怍,1.36,1.36,1.32,1.33,1.33,0.03,2.2556,0.7316,10891534,14650081.0,2024652813.44,2024652813.44
2020-02-17,'600687,*ST試怍,1.33,1.34,1.3,1.3,1.3,0.03,2.3077,0.7531,11210868,14819995.0,1979991354.32,1979991354.32
2020-02-14,'600687,*ST試怍,1.3,1.33,1.29,1.31,1.33,-0.03,-2.2556,0.7053,10500524,13718785.0,1935329895.2,1935329895.2
2020-02-13,'600687,*ST試怍,1.33,1.36,1.3,1.35,1.36,-0.03,-2.2059,0.9305,13852736,18332186.0,1979991354.32,1979991354.32
2020-02-12,'600687,*ST試怍,1.36,1.38,1.32,1.33,1.34,0.02,1.4925,0.6968,10372920,14027317.0,2024652813.44,2024652813.44
2020-02-11,'600687,*ST試怍,1.34,1.38,1.34,1.36,1.35,-0.01,-0.7407,0.9751,14517100,19729423.0,1994878507.36,1994878507.36
2020-02-10,'600687,*ST試怍,1.35,1.35,1.28,1.3,1.29,0.06,4.6512,1.0511,15647976,20812510.0,2009765660.4,2009765660.4
2020-02-07,'600687,*ST試怍,1.29,1.31,1.26,1.3,1.3,-0.01,-0.7692,0.9987,14867433,19154042.0,1920442742.16,1920442742.16
2020-02-06,'600687,*ST試怍,1.3,1.32,1.28,1.31,1.29,0.01,0.7752,0.7745,11530815,14942412.0,1935329895.2,1935329895.2
2020-02-05,'600687,*ST試怍,1.29,1.33,1.28,1.3,1.3,-0.01,-0.7692,1.3385,19926574,26024340.0,1920442742.16,1920442742.16
2020-02-04,'600687,*ST試怍,1.3,1.3,1.3,1.3,1.37,-0.07,-5.1095,0.2646,3939100,5120830.0,1935329895.2,1935329895.2
2020-02-03,'600687,*ST試怍,1.37,1.37,1.37,1.37,1.44,-0.07,-4.8611,0.0448,667300,914201.0,2039539966.48,2039539966.48
2020-01-23,'600687,*ST試怍,1.44,1.49,1.44,1.44,1.52,-0.08,-5.2632,1.709,25442045,36730073.0,2143750037.76,2143750037.76
2020-01-22,'600687,*ST試怍,1.52,1.52,1.52,1.52,1.6,-0.08,-5.0,0.1658,2468300,3751816.0,2262847262.08,2262847262.08
2020-01-21,'600687,*ST試怍,1.6,1.6,1.6,1.6,1.68,-0.08,-4.7619,0.14,2084100,3334560.0,2381944486.4,2381944486.4
2020-01-20,'600687,*ST試怍,1.68,1.71,1.67,1.7,1.67,0.01,0.5988,0.4385,6528120,10992522.0,2501041710.72,2501041710.72
2020-01-17,'600687,*ST試怍,1.67,1.71,1.67,1.68,1.67,0.0,0.0,0.416,6192979,10444706.0,2486154557.68,2486154557.68
2020-01-16,'600687,*ST試怍,1.67,1.75,1.66,1.75,1.74,-0.07,-4.023,0.6605,9833640,16778681.0,2486154557.68,2486154557.68
2020-01-15,'600687,*ST試怍,1.74,1.78,1.73,1.78,1.78,-0.04,-2.2472,0.6005,8939400,15666833.0,2590364628.96,2590364628.96
2020-01-14,'600687,*ST試怍,1.78,1.81,1.76,1.76,1.78,0.0,0.0,0.4941,7355520,13114530.0,2649913241.12,2649913241.12
2020-01-13,'600687,*ST試怍,1.78,1.81,1.75,1.81,1.82,-0.04,-2.1978,0.6207,9240520,16449173.0,2649913241.12,2649913241.12
2020-01-10,'600687,*ST試怍,1.82,1.86,1.81,1.85,1.85,-0.03,-1.6216,0.7169,10672493,19498911.0,2709461853.28,2709461853.28
2020-01-09,'600687,*ST試怍,1.85,1.88,1.81,1.84,1.89,-0.04,-2.1164,1.1342,16885215,31220230.0,2754123312.4,2754123312.4
2020-01-08,'600687,*ST試怍,1.89,1.93,1.84,1.88,1.84,0.05,2.7174,1.8678,27806702,52322128.0,2813671924.56,2813671924.56
2020-01-07,'600687,*ST試怍,1.84,1.86,1.82,1.84,1.87,-0.03,-1.6043,1.0682,15902174,29229821.0,2739236159.36,2739236159.36
2020-01-06,'600687,*ST試怍,1.87,1.88,1.8,1.82,1.8,0.07,3.8889,1.5052,22407824,41076551.0,2783897618.48,2783897618.48
2020-01-03,'600687,*ST試怍,1.8,1.82,1.76,1.77,1.76,0.04,2.2727,0.8013,11929160,21362812.0,2679687547.2,2679687547.2
