»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2020-03-26,'002629,*ST» ÷«,3.41,3.51,3.35,3.44,3.42,-0.01,-0.2924,2.2501,7753750,26620007.5,1404742680.0,1175087476.53
2020-03-25,'002629,*ST» ÷«,3.42,3.59,3.33,3.5,3.49,-0.07,-2.0057,4.1321,14239320,49211523.68,1408862160.0,1178533480.86
2020-03-24,'002629,*ST» ÷«,3.49,3.52,3.28,3.28,3.35,0.14,4.1791,5.4771,18874153,65247121.76,1437698520.0,1202655511.17
2020-03-23,'002629,*ST» ÷«,3.35,3.35,3.14,3.14,3.19,0.16,5.0157,4.7835,16483830,54403433.48,1380025800.0,1154411450.55
2020-03-20,'002629,*ST» ÷«,3.19,3.19,3.04,3.1,3.04,0.15,4.9342,3.5826,12345698,38943081.62,1314114120.0,1099275381.27
2020-03-19,'002629,*ST» ÷«,3.04,3.21,3.0,3.19,3.15,-0.11,-3.4921,3.2075,11053205,33996291.3,1252321920.0,1047585316.32
2020-03-18,'002629,*ST» ÷«,3.15,3.4,3.15,3.28,3.28,-0.13,-3.9634,3.9625,13654828,44485396.6,1297636200.0,1085491363.95
2020-03-17,'002629,*ST» ÷«,3.28,3.49,3.28,3.42,3.45,-0.17,-4.9275,5.2659,18146400,60179516.22,1351189440.0,1130289420.24
2020-03-16,'002629,*ST» ÷«,3.45,3.68,3.42,3.57,3.53,-0.08,-2.2663,6.043,20824320,73619309.0,1421220600.0,1188871493.85
2020-03-13,'002629,*ST» ÷«,3.53,3.53,3.25,3.28,3.36,0.17,5.0595,6.8454,23589390,81352305.07,1454176440.0,1216439528.49
2020-03-12,'002629,*ST» ÷«,3.36,3.36,3.07,3.1,3.2,0.16,5.0,5.7798,19917330,64320582.58,1384145280.0,1157857454.88
2020-03-11,'002629,*ST» ÷«,3.2,3.47,3.14,3.44,3.3,-0.1,-3.0303,9.929,34215291,113784552.34,1318233600.0,1102721385.6
2020-03-10,'002629,*ST» ÷«,3.3,3.3,3.1,3.11,3.14,0.16,5.0955,7.3391,25290642,82621026.56,1359428400.0,1137181428.9
2020-03-09,'002629,*ST» ÷«,3.14,3.14,2.95,2.95,2.99,0.15,5.0167,8.2558,28449496,88293078.73,1293516720.0,1082045359.62
2020-03-06,'002629,*ST» ÷«,2.99,2.99,2.77,2.84,2.85,0.14,4.9123,7.6865,26487870,76700432.14,1231724520.0,1030355294.67
2020-03-05,'002629,*ST» ÷«,2.85,2.85,2.7,2.74,2.71,0.14,5.1661,6.2937,21688189,60445715.16,1174051800.0,982111234.05
2020-03-04,'002629,*ST» ÷«,2.71,2.73,2.65,2.65,2.68,0.03,1.1194,3.4258,11805250,31869187.0,1116379080.0,933867173.43
2020-03-03,'002629,*ST» ÷«,2.68,2.74,2.65,2.67,2.67,0.01,0.3745,2.8745,9905630,26611361.78,1104020640.0,923529160.44
2020-03-02,'002629,*ST» ÷«,2.67,2.69,2.56,2.6,2.65,0.02,0.7547,3.8377,13224751,34642015.61,1099901160.0,920083156.11
2020-02-28,'002629,*ST» ÷«,2.65,2.71,2.49,2.58,2.58,0.07,2.7132,6.6962,23074974,61791891.54,1091662200.0,913191147.45
2020-02-27,'002629,*ST» ÷«,2.58,2.6,2.55,2.56,2.59,-0.01,-0.3861,1.4996,5167471,13301137.6,1062825840.0,889069117.14
2020-02-26,'002629,*ST» ÷«,2.59,2.69,2.59,2.64,2.62,-0.03,-1.145,2.4996,8613592,22667442.65,1066945320.0,892515121.47
2020-02-25,'002629,*ST» ÷«,2.62,2.66,2.56,2.62,2.68,-0.06,-2.2388,2.5229,8693801,22724644.58,1079303760.0,902853134.46
2020-02-24,'002629,*ST» ÷«,2.68,2.72,2.62,2.67,2.68,0.0,0.0,2.1314,7344751,19509226.64,1104020640.0,923529160.44
2020-02-21,'002629,*ST» ÷«,2.68,2.75,2.59,2.62,2.63,0.05,1.9011,2.5301,8718729,23226644.32,1104020640.0,923529160.44
2020-02-20,'002629,*ST» ÷«,2.63,2.66,2.58,2.58,2.59,0.04,1.5444,1.9039,6560991,17246716.24,1083423240.0,906299138.79
2020-02-19,'002629,*ST» ÷«,2.59,2.64,2.49,2.5,2.51,0.08,3.1873,2.2868,7880490,20516969.0,1066945320.0,892515121.47
2020-02-18,'002629,*ST» ÷«,2.51,2.53,2.49,2.52,2.52,-0.01,-0.3968,1.2239,4217405,10593853.6,1033989480.0,864947086.83
2020-02-17,'002629,*ST» ÷«,2.52,2.54,2.48,2.48,2.48,0.04,1.6129,1.129,3890500,9787149.0,1038108960.0,868393091.16
2020-02-14,'002629,*ST» ÷«,2.48,2.55,2.44,2.44,2.48,0.0,0.0,1.1321,3901163,9733945.87,1021631040.0,854609073.84
2020-02-13,'002629,*ST» ÷«,2.48,2.57,2.45,2.55,2.57,-0.09,-3.5019,1.9016,6552900,16358556.0,1021631040.0,854609073.84
2020-02-12,'002629,*ST» ÷«,2.57,2.6,2.46,2.55,2.48,0.09,3.629,3.1454,10839094,27326129.8,1058706360.0,885623112.81
2020-02-11,'002629,*ST» ÷«,2.48,2.48,2.39,2.4,2.36,0.12,5.0847,1.7433,6007533,14742654.6,1021631040.0,854609073.84
2020-02-10,'002629,*ST» ÷«,2.36,2.36,2.25,2.27,2.25,0.11,4.8889,1.6985,5853064,13649196.64,972197280.0,813257021.88
2020-02-07,'002629,*ST» ÷«,2.25,2.31,2.24,2.31,2.3,-0.05,-2.1739,1.8795,6476701,14655005.24,926883000.0,775350974.25
2020-02-06,'002629,*ST» ÷«,2.3,2.39,2.26,2.39,2.37,-0.07,-2.9536,2.6629,9176460,21076432.8,947480400.0,792580995.9
2020-02-05,'002629,*ST» ÷«,2.37,2.45,2.34,2.34,2.39,-0.02,-0.8368,2.5719,8862829,21200101.07,976316760.0,816703026.21
2020-02-04,'002629,*ST» ÷«,2.39,2.39,2.39,2.39,2.52,-0.13,-5.1587,0.71,2446800,5847852.0,984555720.0,823595034.87
2020-02-03,'002629,*ST» ÷«,2.52,2.52,2.52,2.52,2.65,-0.13,-4.9057,0.0937,322800,813456.0,1038108960.0,868393091.16
2020-01-23,'002629,*ST» ÷«,2.65,2.74,2.63,2.74,2.71,-0.06,-2.214,2.1234,7317307,19636400.62,1091662200.0,913191147.45
2020-01-22,'002629,*ST» ÷«,2.71,2.75,2.65,2.66,2.69,0.02,0.7435,1.8283,6300396,16979055.19,1116379080.0,933867173.43
2020-01-21,'002629,*ST» ÷«,2.69,2.76,2.65,2.68,2.63,0.06,2.2814,3.1409,10823560,29256723.6,1108140120.0,926975164.77
2020-01-20,'002629,*ST» ÷«,2.63,2.67,2.57,2.58,2.58,0.05,1.938,1.7653,6083100,15971256.0,1083423240.0,906299138.79
2020-01-17,'002629,*ST» ÷«,2.58,2.6,2.54,2.56,2.57,0.01,0.3891,1.4084,4853430,12456915.5,1062825840.0,889069117.14
2020-01-16,'002629,*ST» ÷«,2.57,2.63,2.55,2.61,2.62,-0.05,-1.9084,1.5557,5361000,13828532.0,1058706360.0,885623112.81
