»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2020-03-26,'601100,∫„¡¢“∫—π,57.57,59.2,57.57,58.53,58.5,-0.93,-1.5897,0.3313,2921663,170266893.0,50776740000.0,50776740000.0
2020-03-25,'601100,∫„¡¢“∫—π,58.5,62.26,57.07,59.57,58.4,0.1,0.1712,0.7118,6277990,367261495.0,51597000000.0,51597000000.0
2020-03-24,'601100,∫„¡¢“∫—π,58.4,58.59,54.2,54.54,53.74,4.66,8.6714,0.7514,6627355,374752033.0,51508800000.0,51508800000.0
2020-03-23,'601100,∫„¡¢“∫—π,53.74,54.92,50.18,50.6,51.68,2.06,3.9861,1.0447,9213951,488994388.0,47398680000.0,47398680000.0
2020-03-20,'601100,∫„¡¢“∫—π,51.68,52.5,49.45,49.7,48.82,2.86,5.8583,0.9189,8104719,416332183.0,45581760000.0,45581760000.0
2020-03-19,'601100,∫„¡¢“∫—π,48.82,51.48,47.28,50.4,50.05,-1.23,-2.4575,0.8259,7284868,356573071.0,43059240000.0,43059240000.0
2020-03-18,'601100,∫„¡¢“∫—π,50.05,53.14,50.05,51.32,50.9,-0.85,-1.6699,0.4731,4172798,216240035.0,44144100000.0,44144100000.0
2020-03-17,'601100,∫„¡¢“∫—π,50.9,52.0,49.0,51.15,50.55,0.35,0.6924,0.4687,4133806,208552032.0,44893800000.0,44893800000.0
2020-03-16,'601100,∫„¡¢“∫—π,50.55,54.46,50.42,54.39,53.77,-3.22,-5.9885,0.659,5812624,304160260.0,44585100000.0,44585100000.0
2020-03-13,'601100,∫„¡¢“∫—π,53.77,54.5,50.35,50.35,53.93,-0.16,-0.2967,0.4389,3871320,205001898.0,47425140000.0,47425140000.0
2020-03-12,'601100,∫„¡¢“∫—π,53.93,55.3,53.3,54.08,54.81,-0.88,-1.6055,0.4613,4068529,220423862.0,47566260000.0,47566260000.0
2020-03-11,'601100,∫„¡¢“∫—π,54.81,56.83,54.81,56.59,56.29,-1.48,-2.6292,0.3708,3270324,182839958.0,48342420000.0,48342420000.0
2020-03-10,'601100,∫„¡¢“∫—π,56.29,57.28,54.12,55.15,55.74,0.55,0.9867,0.5998,5290302,294612791.0,49647780000.0,49647780000.0
2020-03-09,'601100,∫„¡¢“∫—π,55.74,58.14,55.1,57.08,57.81,-2.07,-3.5807,0.5406,4768241,269197587.0,49162680000.0,49162680000.0
2020-03-06,'601100,∫„¡¢“∫—π,57.81,58.54,57.1,57.58,57.97,-0.16,-0.276,0.5173,4562398,263918084.0,50988420000.0,50988420000.0
2020-03-05,'601100,∫„¡¢“∫—π,57.97,59.07,57.5,59.0,58.36,-0.39,-0.6683,0.4945,4361530,253714189.0,51129540000.0,51129540000.0
2020-03-04,'601100,∫„¡¢“∫—π,58.36,59.95,57.83,59.5,59.98,-1.62,-2.7009,0.6759,5961227,349358835.0,51473520000.0,51473520000.0
2020-03-03,'601100,∫„¡¢“∫—π,59.98,63.7,59.35,63.7,61.9,-1.92,-3.1018,0.723,6376857,389160708.0,52902360000.0,52902360000.0
2020-03-02,'601100,∫„¡¢“∫—π,61.9,63.8,58.02,58.02,58.0,3.9,6.7241,1.0447,9213885,569171975.0,54595800000.0,54595800000.0
2020-02-28,'601100,∫„¡¢“∫—π,58.0,60.5,54.95,56.0,57.11,0.89,1.5584,0.6823,6017902,347305731.0,51156000000.0,51156000000.0
2020-02-27,'601100,∫„¡¢“∫—π,57.11,58.68,53.9,54.0,54.08,3.03,5.6028,0.7176,6329103,362549241.0,50371020000.0,50371020000.0
2020-02-26,'601100,∫„¡¢“∫—π,54.08,55.77,53.62,55.18,55.22,-1.14,-2.0645,0.3845,3390909,184533260.0,47698560000.0,47698560000.0
2020-02-25,'601100,∫„¡¢“∫—π,55.22,56.89,53.39,54.5,54.86,0.36,0.6562,0.5152,4544423,250993168.0,48704040000.0,48704040000.0
