»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2020-03-26,'600132,÷ÿ«Ï∆°æ∆,45.56,46.2,44.18,44.85,44.61,0.95,2.1296,0.7494,3626715,164797360.0,22049727780.9,22049727780.9
2020-03-25,'600132,÷ÿ«Ï∆°æ∆,44.61,45.28,43.3,43.58,43.3,1.31,3.0254,0.7338,3551391,157924731.0,21589955142.8,21589955142.8
2020-03-24,'600132,÷ÿ«Ï∆°æ∆,43.3,45.0,41.4,41.4,40.97,2.33,5.6871,1.2615,6105128,261812200.0,20955952873.4,20955952873.4
2020-03-23,'600132,÷ÿ«Ï∆°æ∆,40.97,42.37,40.83,42.18,43.07,-2.1,-4.8758,0.6179,2990304,124041281.0,19828299982.1,19828299982.1
2020-03-20,'600132,÷ÿ«Ï∆°æ∆,43.07,44.76,41.7,44.3,43.89,-0.82,-1.8683,0.9186,4445652,190650173.0,20844639497.9,20844639497.9
2020-03-19,'600132,÷ÿ«Ï∆°æ∆,43.89,47.08,42.6,46.59,46.7,-2.81,-6.0171,0.9655,4672954,206502960.0,21241495880.2,21241495880.2
2020-03-18,'600132,÷ÿ«Ï∆°æ∆,46.7,48.99,46.41,48.87,48.86,-2.16,-4.4208,0.5867,2839466,135178723.0,22601454946.6,22601454946.6
2020-03-17,'600132,÷ÿ«Ï∆°æ∆,48.86,49.83,46.57,48.7,48.6,0.26,0.535,0.7902,3824558,186181065.0,23646832734.3,23646832734.3
2020-03-16,'600132,÷ÿ«Ï∆°æ∆,48.6,50.9,48.58,50.18,50.28,-1.68,-3.3413,0.9038,4374209,218431506.0,23521000222.8,23521000222.8
2020-03-13,'600132,÷ÿ«Ï∆°æ∆,50.28,50.59,48.1,48.1,50.28,0.0,0.0,0.9291,4496598,223064264.0,24334071835.4,24334071835.4
2020-03-12,'600132,÷ÿ«Ï∆°æ∆,50.28,50.6,48.59,49.52,50.17,0.11,0.2193,0.6494,3143082,156818278.0,24334071835.4,24334071835.4
2020-03-11,'600132,÷ÿ«Ï∆°æ∆,50.17,50.78,49.28,50.46,50.46,-0.29,-0.5747,0.8529,4127835,207037604.0,24280835003.7,24280835003.7
2020-03-10,'600132,÷ÿ«Ï∆°æ∆,50.46,50.57,47.01,47.01,47.94,2.52,5.2566,1.113,5386754,266090472.0,24421186651.1,24421186651.1
2020-03-09,'600132,÷ÿ«Ï∆°æ∆,47.94,48.98,47.4,48.23,49.08,-1.14,-2.3227,0.6094,2949327,141949444.0,23201579232.1,23201579232.1
2020-03-06,'600132,÷ÿ«Ï∆°æ∆,49.08,49.99,48.8,49.49,49.6,-0.52,-1.0484,0.5662,2740223,135067841.0,23753306397.8,23753306397.8
2020-03-05,'600132,÷ÿ«Ï∆°æ∆,49.6,50.15,47.37,47.39,47.39,2.21,4.6634,1.265,6122122,302081559.0,24004971420.8,24004971420.8
2020-03-04,'600132,÷ÿ«Ï∆°æ∆,47.39,47.97,46.81,46.97,47.2,0.19,0.4025,0.5424,2624829,124149261.0,22935395073.2,22935395073.2
2020-03-03,'600132,÷ÿ«Ï∆°æ∆,47.2,47.45,46.3,46.4,46.0,1.2,2.6087,0.7332,3548364,166713610.0,22843440545.6,22843440545.6
