ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-03-26,'600819,Ò«Æ¤²£Á§,4.65,4.73,4.64,4.73,4.71,-0.06,-1.2739,0.3221,2407300,11247020.0,4347359720.85,3475484711.55
2020-03-25,'600819,Ò«Æ¤²£Á§,4.71,4.73,4.63,4.65,4.58,0.13,2.8384,0.4925,3680715,17235668.0,4403454684.99,3520329675.57
2020-03-24,'600819,Ò«Æ¤²£Á§,4.58,4.6,4.49,4.56,4.49,0.09,2.0045,0.3468,2592176,11806312.0,4281915596.02,3423165586.86
2020-03-23,'600819,Ò«Æ¤²£Á§,4.49,4.66,4.46,4.66,4.72,-0.23,-4.8729,0.6556,4899800,22181339.0,4197773149.81,3355898140.83
2020-03-20,'600819,Ò«Æ¤²£Á§,4.72,4.73,4.57,4.59,4.56,0.16,3.5088,0.7235,5407471,25239375.0,4412803845.68,3527803836.24
2020-03-19,'600819,Ò«Æ¤²£Á§,4.56,4.59,4.42,4.44,4.48,0.08,1.7857,0.4996,3733882,16833646.0,4263217274.64,3408217265.52
2020-03-18,'600819,Ò«Æ¤²£Á§,4.48,4.65,4.46,4.6,4.56,-0.08,-1.7544,0.5306,3965681,18115504.0,4188423989.12,3348423980.16
2020-03-17,'600819,Ò«Æ¤²£Á§,4.56,4.6,4.42,4.55,4.51,0.05,1.1086,0.5453,4075901,18383246.0,4263217274.64,3408217265.52
2020-03-16,'600819,Ò«Æ¤²£Á§,4.51,4.85,4.48,4.83,4.75,-0.24,-5.0526,0.7683,5742400,26807832.0,4216471471.19,3370846462.17
2020-03-13,'600819,Ò«Æ¤²£Á§,4.75,4.79,4.6,4.6,4.8,-0.05,-1.0417,0.8743,6534881,30528672.0,4440851327.75,3550226318.25
2020-03-12,'600819,Ò«Æ¤²£Á§,4.8,4.93,4.75,4.92,4.94,-0.14,-2.834,0.8687,6492468,31333896.0,4487597131.2,3587597121.6
2020-03-11,'600819,Ò«Æ¤²£Á§,4.94,5.08,4.92,5.06,5.03,-0.09,-1.7893,0.8359,6247900,31196193.0,4618485380.86,3692235370.98
2020-03-10,'600819,Ò«Æ¤²£Á§,5.03,5.05,4.82,4.89,4.97,0.06,1.2072,1.0497,7845303,38804096.0,4702627827.07,3759502817.01
2020-03-09,'600819,Ò«Æ¤²£Á§,4.97,5.22,4.97,5.15,5.23,-0.26,-4.9713,1.1421,8536125,43269011.0,4646532862.93,3714657852.99
2020-03-06,'600819,Ò«Æ¤²£Á§,5.23,5.29,5.17,5.17,5.26,-0.03,-0.5703,1.0858,8115400,42501340.0,4889611040.87,3908986030.41
2020-03-05,'600819,Ò«Æ¤²£Á§,5.26,5.27,5.06,5.06,5.05,0.21,4.1584,1.4291,10681001,55533885.0,4917658522.94,3931408512.42
2020-03-04,'600819,Ò«Æ¤²£Á§,5.05,5.06,4.94,4.96,5.0,0.05,1.0,0.796,5949654,29799312.0,4721326148.45,3774451138.35
2020-03-03,'600819,Ò«Æ¤²£Á§,5.0,5.15,4.96,5.11,5.04,-0.04,-0.7937,1.1901,8895167,44932890.0,4674580345.0,3737080335.0
2020-03-02,'600819,Ò«Æ¤²£Á§,5.04,5.07,4.84,4.85,4.81,0.23,4.7817,1.0046,7508291,37340879.0,4711976987.76,3766976977.68
2020-02-28,'600819,Ò«Æ¤²£Á§,4.81,5.09,4.77,5.03,5.19,-0.38,-7.3218,1.4625,10930800,54033616.0,4496946291.89,3595071282.27
2020-02-27,'600819,Ò«Æ¤²£Á§,5.19,5.3,5.13,5.26,5.22,-0.03,-0.5747,1.3435,10041330,52404067.0,4852214398.11,3879089387.73
2020-02-26,'600819,Ò«Æ¤²£Á§,5.22,5.4,5.14,5.39,5.39,-0.17,-3.154,1.904,14230600,75358179.0,4880261880.18,3901511869.74
2020-02-25,'600819,Ò«Æ¤²£Á§,5.39,5.39,5.1,5.2,5.34,0.05,0.9363,2.2813,17051138,89765431.0,5039197611.91,4028572601.13
2020-02-24,'600819,Ò«Æ¤²£Á§,5.34,5.37,5.1,5.14,5.19,0.15,2.8902,1.8845,14085281,74239215.0,4992451808.46,3991201797.78
2020-02-21,'600819,Ò«Æ¤²£Á§,5.19,5.29,5.05,5.1,5.08,0.11,2.1654,1.9625,14668380,76279833.0,4852214398.11,3879089387.73
2020-02-20,'600819,Ò«Æ¤²£Á§,5.08,5.11,4.99,5.1,5.06,0.02,0.3953,1.2131,9067188,45941260.0,4749373630.52,3796873620.36
2020-02-19,'600819,Ò«Æ¤²£Á§,5.06,5.16,5.06,5.13,5.15,-0.09,-1.7476,1.3152,9829910,50140319.0,4730675309.14,3781925299.02
2020-02-18,'600819,Ò«Æ¤²£Á§,5.15,5.16,5.03,5.09,5.07,0.08,1.5779,2.0088,15014169,76572430.0,4814817755.35,3849192745.05
2020-02-17,'600819,Ò«Æ¤²£Á§,5.07,5.13,4.92,4.92,4.9,0.17,3.4694,1.5873,11863767,59630086.0,4740024469.83,3789399459.69
2020-02-14,'600819,Ò«Æ¤²£Á§,4.9,4.98,4.85,4.98,5.0,-0.1,-2.0,1.3515,10101300,49597124.0,4581088738.1,3662338728.3
2020-02-13,'600819,Ò«Æ¤²£Á§,5.0,5.13,4.96,5.03,5.06,-0.06,-1.1858,1.883,14073506,70874408.0,4674580345.0,3737080335.0
2020-02-12,'600819,Ò«Æ¤²£Á§,5.06,5.1,4.88,4.9,4.98,0.08,1.6064,2.5016,18697603,93647302.0,4730675309.14,3781925299.02
2020-02-11,'600819,Ò«Æ¤²£Á§,4.98,5.16,4.62,4.71,4.69,0.29,6.1834,3.0099,22496179,113026412.0,4655882023.62,3722132013.66
2020-02-10,'600819,Ò«Æ¤²£Á§,4.69,4.69,4.5,4.55,4.59,0.1,2.1786,0.9248,6911986,31946590.0,4384756363.61,3505381354.23
2020-02-07,'600819,Ò«Æ¤²£Á§,4.59,4.63,4.5,4.57,4.63,-0.04,-0.8639,0.7213,5390997,24571203.0,4291264756.71,3430639747.53
2020-02-06,'600819,Ò«Æ¤²£Á§,4.63,4.66,4.51,4.6,4.63,0.0,0.0,1.019,7616215,34955164.0,4328661399.47,3460536390.21
2020-02-05,'600819,Ò«Æ¤²£Á§,4.63,4.72,4.55,4.69,4.64,-0.01,-0.2155,1.072,8012301,37215969.0,4328661399.47,3460536390.21
2020-02-04,'600819,Ò«Æ¤²£Á§,4.64,4.69,4.37,4.37,4.45,0.19,4.2697,1.2854,9607412,43648517.0,4338010560.16,3468010550.88
2020-02-03,'600819,Ò«Æ¤²£Á§,4.45,4.53,4.45,4.45,4.94,-0.49,-9.919,0.8914,6662300,29717888.0,4160376507.05,3326001498.15
2020-01-23,'600819,Ò«Æ¤²£Á§,4.94,5.1,4.89,4.93,5.0,-0.06,-1.2,1.3563,10137372,50377148.0,4618485380.86,3692235370.98
2020-01-22,'600819,Ò«Æ¤²£Á§,5.0,5.05,4.77,4.77,4.7,0.3,6.383,1.7402,13006607,64216852.0,4674580345.0,3737080335.0
2020-01-21,'600819,Ò«Æ¤²£Á§,4.7,4.76,4.69,4.76,4.78,-0.08,-1.6736,0.4198,3137292,14779160.0,4394105524.3,3512855514.9
2020-01-20,'600819,Ò«Æ¤²£Á§,4.78,4.78,4.72,4.74,4.78,0.0,0.0,0.462,3453300,16407761.0,4468898809.82,3572648800.26
2020-01-17,'600819,Ò«Æ¤²£Á§,4.78,4.86,4.77,4.83,4.83,-0.05,-1.0352,0.4707,3518318,16904390.0,4468898809.82,3572648800.26
2020-01-16,'600819,Ò«Æ¤²£Á§,4.83,4.92,4.81,4.92,4.92,-0.09,-1.8293,0.5612,4194141,20339362.0,4515644613.27,3610019603.61
2020-01-15,'600819,Ò«Æ¤²£Á§,4.92,4.99,4.89,4.98,4.98,-0.06,-1.2048,0.4687,3503200,17257545.0,4599787059.48,3677287049.64
2020-01-14,'600819,Ò«Æ¤²£Á§,4.98,4.99,4.92,4.95,4.96,0.02,0.4032,0.5703,4262403,21133120.0,4655882023.62,3722132013.66
2020-01-13,'600819,Ò«Æ¤²£Á§,4.96,4.98,4.91,4.98,4.94,0.02,0.4049,0.3766,2814515,13914309.0,4637183702.24,3707183692.32
2020-01-10,'600819,Ò«Æ¤²£Á§,4.94,5.03,4.9,5.0,5.0,-0.06,-1.2,0.5187,3877015,19219438.0,4618485380.86,3692235370.98
2020-01-09,'600819,Ò«Æ¤²£Á§,5.0,5.03,4.9,4.92,4.88,0.12,2.459,0.7865,5878761,29155718.0,4674580345.0,3737080335.0
2020-01-08,'600819,Ò«Æ¤²£Á§,4.88,5.01,4.88,5.0,5.05,-0.17,-3.3663,0.8152,6093000,30162598.0,4562390416.72,3647390406.96
2020-01-07,'600819,Ò«Æ¤²£Á§,5.05,5.05,4.95,4.98,5.0,0.05,1.0,0.9202,6877400,34368496.0,4721326148.45,3774451138.35
2020-01-06,'600819,Ò«Æ¤²£Á§,5.0,5.04,4.91,4.98,5.01,-0.01,-0.1996,1.0118,7562197,37781767.0,4674580345.0,3737080335.0
2020-01-03,'600819,Ò«Æ¤²£Á§,5.01,5.1,4.97,5.1,5.14,-0.13,-2.5292,1.5243,11393064,57160551.0,4683929505.69,3744554495.67
