хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2020-03-26,'002918,цидхюЖи╞,22.7,22.97,21.67,21.98,22.2,0.5,2.2523,2.6718,3645162,82210100.95,9154944367.8,3096989692.8
2020-03-25,'002918,цидхюЖи╞,22.2,22.2,21.23,21.6,21.14,1.06,5.0142,2.6659,3637089,79154847.3,8953293610.8,3028774060.8
2020-03-24,'002918,цидхюЖи╞,21.14,21.68,20.61,21.2,20.8,0.34,1.6346,2.6106,3561719,75193765.07,8525794005.96,2884156920.96
2020-03-23,'002918,цидхюЖи╞,20.8,21.48,20.59,21.0,21.87,-1.07,-4.8925,2.1678,2957529,62170772.41,8388671491.2,2837770291.2
2020-03-20,'002918,цидхюЖи╞,21.87,22.03,20.91,21.53,20.98,0.89,4.2421,2.4782,3381014,72988418.47,8820204111.18,2983751743.68
2020-03-19,'002918,цидхюЖи╞,20.98,21.47,20.03,21.3,21.1,-0.12,-0.5687,2.9308,3998593,82862665.94,8461265763.72,2862327918.72
2020-03-18,'002918,цидхюЖи╞,21.1,22.28,20.54,20.54,20.3,0.8,3.9409,3.8192,5210532,113132513.95,8509661945.4,2878699670.4
2020-03-17,'002918,цидхюЖи╞,20.3,21.79,19.82,20.8,20.8,-0.5,-2.4038,3.2831,4479140,92008225.72,8187020734.2,2769554659.2
2020-03-16,'002918,цидхюЖи╞,20.8,23.37,20.8,23.05,22.74,-1.94,-8.5312,4.9549,6760002,147306851.76,8388671491.2,2837770291.2
2020-03-13,'002918,цидхюЖи╞,22.74,23.1,21.51,21.95,23.2,-0.46,-1.9828,3.1868,4347820,97952958.1,9171076428.36,3102446943.36
2020-03-12,'002918,цидхюЖи╞,23.2,23.97,22.67,23.97,24.1,-0.9,-3.7344,2.695,3676827,84938954.45,9356595124.8,3165205324.8
