日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-26,'603726,朗迪集团,25.82,26.4,25.0,25.15,24.63,1.19,4.8315,1.7464,3242201,83489418.0,4793513984.0,4793513984.0
2020-03-25,'603726,朗迪集团,24.63,24.78,22.67,23.75,22.59,2.04,9.0305,2.367,4394360,106401166.0,4572589056.0,4572589056.0
2020-03-24,'603726,朗迪集团,22.59,25.5,22.59,25.23,25.1,-2.51,-10.0,2.0843,3869608,90068360.0,4193860608.0,4193860608.0
2020-03-23,'603726,朗迪集团,25.1,25.79,25.01,25.56,25.8,-0.7,-2.7132,1.0853,2014852,51148618.0,4659845120.0,4659845120.0
2020-03-20,'603726,朗迪集团,25.8,26.0,24.79,25.77,25.86,-0.06,-0.232,2.3399,4344124,109951438.0,4789800960.0,4789800960.0
2020-03-19,'603726,朗迪集团,25.86,25.99,25.26,25.87,25.92,-0.06,-0.2315,1.2704,2358473,60595676.0,4800940032.0,4800940032.0
2020-03-18,'603726,朗迪集团,25.92,26.24,25.8,26.2,26.14,-0.22,-0.8416,1.6151,2998468,78065845.0,4812079104.0,4812079104.0
2020-03-17,'603726,朗迪集团,26.14,26.33,25.13,26.3,26.0,0.14,0.5385,1.2957,2405520,62378296.0,4852922368.0,4852922368.0
2020-03-16,'603726,朗迪集团,26.0,26.45,25.67,26.13,26.08,-0.08,-0.3067,1.1379,2112580,55084676.0,4826931200.0,4826931200.0
2020-03-13,'603726,朗迪集团,26.08,26.31,24.8,24.8,26.05,0.03,0.1152,1.1517,2138212,55060969.0,4841783296.0,4841783296.0
2020-03-12,'603726,朗迪集团,26.05,26.17,24.0,24.6,25.0,1.05,4.2,1.5002,2785164,70233781.0,4836213760.0,4836213760.0
2020-03-11,'603726,朗迪集团,25.0,25.54,24.1,24.9,24.55,0.45,1.833,1.8131,3366090,83499735.0,4641280000.0,4641280000.0
2020-03-10,'603726,朗迪集团,24.55,24.6,23.43,24.1,24.13,0.42,1.7406,1.7429,3235792,78710658.0,4557736960.0,4557736960.0
2020-03-09,'603726,朗迪集团,24.13,25.98,23.91,25.98,26.45,-2.32,-8.7713,2.3801,4418623,110660406.0,4479763456.0,4479763456.0
2020-03-06,'603726,朗迪集团,26.45,26.45,25.59,26.02,27.41,-0.96,-3.5024,2.812,5220500,135904431.0,4910474240.0,4910474240.0
2020-03-05,'603726,朗迪集团,27.41,27.7,25.02,26.14,26.0,1.41,5.4231,3.2311,5998586,158392466.0,5088699392.0,5088699392.0
