�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2020-03-26,'600660,腦珓產薛,19.72,20.39,19.65,20.39,20.51,-0.79,-3.8518,1.0419,20868495,413462835.0,49469937731.0,39498890467.0
2020-03-25,'600660,腦珓產薛,20.51,20.55,19.13,19.18,18.75,1.76,9.3867,1.8411,36877115,735619415.0,51451745581.3,41081249669.3
2020-03-24,'600660,腦珓產薛,18.75,19.0,17.94,18.19,17.93,0.82,4.5733,1.262,25277202,462678465.0,47036578725.0,37555993725.0
2020-03-23,'600660,腦珓產薛,17.93,18.85,17.86,18.85,19.33,-1.4,-7.2426,1.7898,35848999,648838017.0,44979512348.8,35913544932.8
2020-03-20,'600660,腦珓產薛,19.33,19.55,19.08,19.42,19.31,0.02,0.1036,1.0844,21720022,418337812.0,48491576893.6,38717725797.6
2020-03-19,'600660,腦珓產薛,19.31,20.0,18.78,19.93,20.03,-0.72,-3.5946,1.4084,28209315,542805694.0,48441404542.9,38677666070.9
2020-03-18,'600660,腦珓產薛,20.03,20.68,20.03,20.47,20.24,-0.21,-1.0375,0.7397,14816417,301652496.0,50247609166.0,40119816230.0
2020-03-17,'600660,腦珓產薛,20.24,21.28,19.87,21.0,21.07,-0.83,-3.9393,1.4848,29740841,604586262.0,50774418847.7,40540443359.7
2020-03-16,'600660,腦珓產薛,21.07,21.85,20.9,21.8,21.8,-0.73,-3.3486,1.6574,33196634,703605089.0,52856571399.2,42202922015.2
2020-03-13,'600660,腦珓產薛,21.8,21.91,21.0,21.0,22.41,-0.61,-2.722,1.345,26939972,579857981.0,54687862197.6,43665102037.6
2020-03-12,'600660,腦珓產薛,22.41,22.9,22.28,22.8,22.96,-0.55,-2.3955,0.7904,15830953,356176379.0,56218118892.1,44886923700.1
2020-03-11,'600660,腦珓產薛,22.96,23.29,22.93,23.1,23.27,-0.31,-1.3322,0.811,16244843,375695374.0,57597858534.7,45988566182.7
2020-03-10,'600660,腦珓產薛,23.27,23.32,21.0,22.52,22.99,0.28,1.2179,1.1965,23964804,543694498.0,58375529969.6,46609491945.6
2020-03-09,'600660,腦珓產薛,22.99,23.21,22.85,23.2,23.56,-0.57,-2.4194,0.9254,18535648,426918821.0,57673117060.7,46048655772.7
2020-03-06,'600660,腦珓產薛,23.56,23.74,23.43,23.63,23.93,-0.37,-1.5462,0.7093,14206640,334867741.0,59103029053.9,47190357981.9
2020-03-05,'600660,腦珓產薛,23.93,23.93,23.34,23.8,23.53,0.4,1.7,1.1485,23004316,543810536.0,60031217540.8,47931462924.8
2020-03-04,'600660,腦珓產薛,23.53,23.6,23.31,23.33,23.48,0.05,0.2129,0.652,13059516,305932716.0,59027770528.0,47130268392.0
2020-03-03,'600660,腦珓產薛,23.48,24.11,23.29,23.85,23.69,-0.21,-0.8864,0.8474,16972395,401907405.0,58902339651.4,47030119075.4
2020-03-02,'600660,腦珓產薛,23.69,23.78,23.0,23.0,23.17,0.52,2.2443,0.7102,14226045,334330185.0,59429149333.1,47450746205.1
