ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2020-03-26,'002878,ิชยกัลอผ,30.96,31.63,30.65,31.51,31.6,-0.64,-2.0253,3.7809,1768265,54996949.7,4034420417.52,1447959664.08
2020-03-25,'002878,ิชยกัลอผ,31.6,31.98,31.42,31.98,31.29,0.31,0.9907,5.9071,2762680,87501922.1,4117819289.2,1477891646.8
2020-03-24,'002878,ิชยกัลอผ,31.29,32.07,30.03,30.04,29.55,1.74,5.8883,8.1921,3831340,119289870.68,4077422960.73,1463393342.67
2020-03-23,'002878,ิชยกัลอผ,29.55,31.4,29.01,30.21,31.28,-1.73,-5.5307,5.4415,2544936,77209592.64,3850682278.35,1382015764.65
2020-03-20,'002878,ิชยกัลอผ,31.28,31.65,30.58,31.23,30.6,0.68,2.2222,5.2899,2474025,77237157.55,4076119853.36,1462925655.44
2020-03-19,'002878,ิชยกัลอผ,30.6,30.88,29.31,30.3,29.99,0.61,2.034,5.1857,2425300,72907204.4,3987508552.2,1431122923.8
2020-03-18,'002878,ิชยกัลอผ,29.99,31.93,29.9,31.09,30.98,-0.99,-3.1956,7.8017,3648751,113430447.92,3908019002.63,1402594002.77
2020-03-17,'002878,ิชยกัลอผ,30.98,32.9,29.53,31.41,31.08,-0.1,-0.3218,9.0504,4232750,129117392.0,4037026632.26,1448895038.54
2020-03-16,'002878,ิชยกัลอผ,31.08,35.8,30.81,34.19,33.16,-2.08,-6.2726,6.0618,2835030,92605252.4,4050057705.96,1453571910.84
2020-03-13,'002878,ิชยกัลอผ,33.16,34.34,32.04,32.11,34.99,-1.83,-5.2301,6.04,2824811,93704975.17,4321104038.92,1550850854.68
2020-03-12,'002878,ิชยกัลอผ,34.99,35.51,34.07,35.51,36.54,-1.55,-4.2419,4.3186,2019750,70477750.5,4559572687.63,1636437617.77
2020-03-11,'002878,ิชยกัลอผ,36.54,38.5,36.4,38.02,38.1,-1.56,-4.0945,4.5068,2107781,78729955.82,4761554329.98,1708929138.42
2020-03-10,'002878,ิชยกัลอผ,38.1,38.5,35.98,36.69,38.55,-0.45,-1.1673,6.5144,3046686,113575657.76,4964839079.7,1781888346.3
2020-03-09,'002878,ิชยกัลอผ,38.55,41.27,38.55,40.2,42.83,-4.28,-9.993,10.1942,4767711,188492658.0,5023478911.35,1802934271.65
2020-03-06,'002878,ิชยกัลอผ,42.83,44.44,38.01,39.5,40.55,2.28,5.6227,16.0516,7507133,308546670.92,5581208865.71,2003104406.09
2020-03-05,'002878,ิชยกัลอผ,40.55,42.67,39.88,42.66,42.66,-2.11,-4.9461,13.5421,6333466,258798375.61,5284100385.35,1896471717.65
2020-03-04,'002878,ิชยกัลอผ,42.66,43.56,39.05,39.19,39.6,3.06,7.7273,15.8424,7409266,314721922.92,5559056040.42,1995153723.18
2020-03-03,'002878,ิชยกัลอผ,39.6,41.32,39.18,39.32,39.1,0.5,1.2788,8.0908,3783954,152143443.8,5160305185.2,1852041430.8
2020-03-02,'002878,ิชยกัลอผ,39.1,40.35,37.91,38.63,37.01,2.09,5.6471,6.8699,3212985,125194707.05,5095149816.7,1828657069.3
2020-02-28,'002878,ิชยกัลอผ,37.01,39.62,37.0,39.32,40.53,-3.52,-8.6849,6.4326,3008450,114912927.7,4822800376.37,1730910438.23
2020-02-27,'002878,ิชยกัลอผ,40.53,41.57,39.51,40.43,40.22,0.31,0.7708,5.9039,2761168,112293630.1,5281494170.61,1895536343.19
2020-02-26,'002878,ิชยกัลอผ,40.22,42.98,39.82,42.66,42.66,-2.44,-5.7196,6.1639,2882784,118672725.74,5241097842.14,1881038039.06
2020-02-25,'002878,ิชยกัลอผ,42.66,43.5,39.2,41.36,43.0,-0.34,-0.7907,8.3966,3927004,165200325.21,5559056040.42,1995153723.18
2020-02-24,'002878,ิชยกัลอผ,43.0,43.5,41.52,42.63,43.57,-0.57,-1.3082,8.371,3915007,167123763.82,5603361691.0,2011055089.0
2020-02-21,'002878,ิชยกัลอผ,43.57,44.99,41.56,42.0,42.89,0.68,1.5855,13.6375,6378101,277237866.55,5677638811.09,2037713261.11
2020-02-20,'002878,ิชยกัลอผ,42.89,44.8,41.8,43.45,43.45,-0.56,-1.2888,9.6679,4521575,193920104.19,5589027509.93,2005910529.47
