ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-02-11,'300637,Ñï·«ÐÂ²Ä,12.12,12.43,11.75,12.22,13.06,-0.94,-7.1975,16.5409,20850064,249680190.77,2845293624.0,1527741998.4
2020-02-10,'300637,Ñï·«ÐÂ²Ä,13.06,13.73,13.06,13.72,14.51,-1.45,-9.9931,12.7474,16068270,212846847.74,3065968212.0,1646230239.2
2020-02-07,'300637,Ñï·«ÐÂ²Ä,14.51,14.51,13.65,14.22,13.19,1.32,10.0076,32.8754,41439878,593324267.59,3406370502.0,1829004653.2
2020-02-06,'300637,Ñï·«ÐÂ²Ä,13.19,13.19,13.19,13.19,11.99,1.2,10.0083,0.9265,1167860,15404073.4,3096487038.0,1662616910.8
2020-02-05,'300637,Ñï·«ÐÂ²Ä,11.99,11.99,11.99,11.99,10.9,1.09,10.0,0.7026,885650,10618943.5,2814774798.0,1511355326.8
2020-02-04,'300637,Ñï·«ÐÂ²Ä,10.9,11.12,10.51,10.55,11.12,-0.22,-1.9784,5.4541,6875005,73979245.6,2558886180.0,1373959388.0
2020-02-03,'300637,Ñï·«ÐÂ²Ä,11.12,11.12,11.12,11.12,12.35,-1.23,-9.9595,0.5434,684900,7616088.0,2610533424.0,1401690678.4
2020-01-23,'300637,Ñï·«ÐÂ²Ä,12.35,12.99,12.05,12.12,12.05,0.3,2.4896,5.5643,7013834,87843599.4,2899288470.0,1556733802.0
2020-01-22,'300637,Ñï·«ÐÂ²Ä,12.05,12.71,11.9,12.7,12.98,-0.93,-7.1649,5.9862,7545738,91797429.85,2828860410.0,1518918406.0
2020-01-21,'300637,Ñï·«ÐÂ²Ä,12.98,13.18,12.73,12.84,12.9,0.08,0.6202,3.5274,4446274,57884127.23,3047187396.0,1636146133.6
2020-01-20,'300637,Ñï·«ÐÂ²Ä,12.9,12.97,12.7,12.9,12.85,0.05,0.3891,2.6975,3400278,43593005.85,3028406580.0,1626062028.0
2020-01-17,'300637,Ñï·«ÐÂ²Ä,12.85,13.0,12.66,12.76,12.74,0.11,0.8634,4.7312,5963800,76630067.2,3016668570.0,1619759462.0
2020-01-16,'300637,Ñï·«ÐÂ²Ä,12.74,13.05,12.17,12.21,12.2,0.54,4.4262,6.2917,7930733,100525992.92,2990844948.0,1605893816.8
2020-01-15,'300637,Ñï·«ÐÂ²Ä,12.2,12.46,12.09,12.46,12.46,-0.26,-2.0867,2.1215,2674170,32684376.3,2864074440.0,1537826104.0
2020-01-14,'300637,Ñï·«ÐÂ²Ä,12.46,12.57,12.39,12.5,12.45,0.01,0.0803,1.6573,2089060,26035133.75,2925112092.0,1570599447.2
2020-01-13,'300637,Ñï·«ÐÂ²Ä,12.45,12.48,12.18,12.46,12.41,0.04,0.3223,1.6301,2054710,25370436.8,2922764490.0,1569338934.0
2020-01-10,'300637,Ñï·«ÐÂ²Ä,12.41,12.63,12.35,12.49,12.55,-0.14,-1.1155,1.6314,2056410,25561591.5,2913374082.0,1564296881.2
2020-01-09,'300637,Ñï·«ÐÂ²Ä,12.55,12.66,12.45,12.54,12.43,0.12,0.9654,1.4657,1847510,23184473.7,2946240510.0,1581944066.0
2020-01-08,'300637,Ñï·«ÐÂ²Ä,12.43,12.77,12.34,12.63,12.76,-0.33,-2.5862,2.3427,2952994,37142793.46,2918069286.0,1566817907.6
2020-01-07,'300637,Ñï·«ÐÂ²Ä,12.76,12.85,12.54,12.63,12.63,0.13,1.0293,2.5808,3253180,41261386.5,2995540152.0,1608414843.2
2020-01-06,'300637,Ñï·«ÐÂ²Ä,12.63,12.63,12.28,12.37,12.39,0.24,1.937,2.8634,3609363,45018825.62,2965021326.0,1592028171.6
2020-01-03,'300637,Ñï·«ÐÂ²Ä,12.39,12.57,12.36,12.51,12.47,-0.08,-0.6415,1.5875,2001112,24901052.94,2908678878.0,1561775854.8
