日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-26,'600118,中国卫星,29.3,30.26,29.29,29.67,30.0,-0.7,-2.3333,1.5497,18324730,543853533.0,34646931655.5,34646931655.5
2020-03-25,'600118,中国卫星,30.0,30.3,29.4,30.0,29.16,0.84,2.8807,2.0508,24251073,724674636.0,35474674050.0,35474674050.0
2020-03-24,'600118,中国卫星,29.16,29.88,28.1,29.65,28.96,0.2,0.6906,2.0843,24646387,714559891.0,34481383176.6,34481383176.6
2020-03-23,'600118,中国卫星,28.96,30.44,28.76,29.9,31.26,-2.3,-7.3576,2.5746,30444464,897481751.0,34244885349.6,34244885349.6
2020-03-20,'600118,中国卫星,31.26,32.32,30.75,32.0,31.81,-0.55,-1.729,2.4286,28717424,902670206.0,36964610360.1,36964610360.1
2020-03-19,'600118,中国卫星,31.81,32.18,30.51,31.53,31.18,0.63,2.0205,2.9363,34721057,1094842560.0,37614979384.3,37614979384.3
2020-03-18,'600118,中国卫星,31.18,33.1,31.11,31.88,31.46,-0.28,-0.89,3.0836,36463609,1165483697.0,36870011229.3,36870011229.3
2020-03-17,'600118,中国卫星,31.46,32.84,29.8,32.84,31.79,-0.33,-1.0381,3.4824,41178545,1279194821.0,37201108187.1,37201108187.1
2020-03-16,'600118,中国卫星,31.79,35.45,31.73,35.08,35.25,-3.46,-9.8156,4.9476,58505179,1948692515.0,37591329601.7,37591329601.7
2020-03-13,'600118,中国卫星,35.25,36.36,33.5,33.5,36.26,-1.01,-2.7854,4.3897,51908027,1806671217.0,41682742008.8,41682742008.8
2020-03-12,'600118,中国卫星,36.26,39.12,35.7,39.0,39.59,-3.33,-8.4112,6.5873,77894483,2907563048.0,42877056035.1,42877056035.1
2020-03-11,'600118,中国卫星,39.59,41.7,38.6,39.0,37.91,1.68,4.4315,9.6491,114099201,4631965972.0,46814744854.7,46814744854.7
2020-03-10,'600118,中国卫星,37.91,37.91,34.08,34.1,34.46,3.45,10.0116,4.344,51367591,1856687856.0,44828163107.8,44828163107.8
2020-03-09,'600118,中国卫星,34.46,36.15,34.3,35.85,36.29,-1.83,-5.0427,2.6402,31220624,1101833351.0,40748575592.1,40748575592.1
2020-03-06,'600118,中国卫星,36.29,37.35,34.61,35.05,36.05,0.24,0.6657,3.6026,42600161,1541361117.0,42912530709.2,42912530709.2
2020-03-05,'600118,中国卫星,36.05,37.0,34.92,35.65,35.0,1.05,3.0,3.5727,42246237,1527189625.0,42628733316.8,42628733316.8
2020-03-04,'600118,中国卫星,35.0,35.78,34.01,34.12,34.86,0.14,0.4016,2.079,24583391,857136665.0,41387119725.0,41387119725.0
2020-03-03,'600118,中国卫星,34.86,36.4,34.55,35.02,34.65,0.21,0.6061,3.0383,35928095,1275691091.0,41221571246.1,41221571246.1
2020-03-02,'600118,中国卫星,34.65,35.05,33.45,34.59,34.01,0.64,1.8818,3.0389,35935091,1238132421.0,40973248527.8,40973248527.8
2020-02-28,'600118,中国卫星,34.01,35.51,33.05,33.05,35.5,-1.49,-4.1972,3.7971,44900125,1530606548.0,40216455481.3,40216455481.3
2020-02-27,'600118,中国卫星,35.5,37.18,35.18,37.0,36.9,-1.4,-3.794,3.7611,44474742,1601181647.0,41978364292.5,41978364292.5
2020-02-26,'600118,中国卫星,36.9,39.68,36.0,39.34,40.0,-3.1,-7.75,5.8377,69030156,2625001824.0,43633849081.5,43633849081.5
2020-02-25,'600118,中国卫星,40.0,40.19,37.08,37.51,38.78,1.22,3.146,6.5524,77481900,3000591479.0,47299565400.0,47299565400.0
2020-02-24,'600118,中国卫星,38.78,39.8,37.8,39.3,39.95,-1.17,-2.9287,5.7599,68110007,2627896774.0,45856928655.3,45856928655.3
2020-02-21,'600118,中国卫星,39.95,41.23,36.7,37.0,37.48,2.47,6.5902,8.3289,98488224,3894662555.0,47240440943.2,47240440943.2
2020-02-20,'600118,中国卫星,37.48,37.77,35.3,36.3,36.01,1.47,4.0822,4.8122,56903597,2101223711.0,44319692779.8,44319692779.8
2020-02-19,'600118,中国卫星,36.01,38.0,35.5,38.0,38.69,-2.68,-6.9269,5.2169,61689395,2273781672.0,42581433751.3,42581433751.3
2020-02-18,'600118,中国卫星,38.69,38.69,36.53,38.0,38.03,0.66,1.7355,6.1181,72345905,2729920570.0,45750504633.2,45750504633.2
2020-02-17,'600118,中国卫星,38.03,39.5,36.9,37.0,37.65,0.38,1.0093,6.428,76010941,2906359806.0,44970061804.1,44970061804.1
2020-02-14,'600118,中国卫星,37.65,38.75,35.45,36.18,35.85,1.8,5.0209,7.2313,85508782,3155973178.0,44520715932.8,44520715932.8
2020-02-13,'600118,中国卫星,35.85,37.18,35.2,37.1,37.83,-1.98,-5.2339,6.6013,78059913,2821233696.0,42392235489.8,42392235489.8
2020-02-12,'600118,中国卫星,37.83,38.38,35.82,36.3,36.15,1.68,4.6473,7.7089,91156748,3385646038.0,44733563977.1,44733563977.1
2020-02-11,'600118,中国卫星,36.15,37.19,34.0,36.99,37.48,-1.33,-3.5486,6.8873,81441208,2912131515.0,42746982230.2,42746982230.2
