日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-03-26,'600890,中房股份,7.73,8.04,7.62,8.04,8.42,-0.69,-8.1948,5.9661,34555478,267214235.0,4477176770.25,4477176770.25
2020-03-25,'600890,中房股份,8.42,8.88,8.42,8.45,9.36,-0.94,-10.0427,6.878,39837086,341822529.0,4876821268.5,4876821268.5
2020-03-24,'600890,中房股份,9.36,10.0,9.36,10.0,10.4,-1.04,-10.0,4.9113,28446178,269740765.0,5421264498.0,5421264498.0
2020-03-23,'600890,中房股份,10.4,10.4,9.92,10.4,9.45,0.95,10.0529,8.5166,49327966,512793972.0,6023627220.0,6023627220.0
2020-03-20,'600890,中房股份,0.0,0.0,0.0,0.0,9.45,None,None,0.0,0,0.0,5473392041.25,5473392041.25
2020-03-19,'600890,中房股份,0.0,0.0,0.0,0.0,9.45,None,None,0.0,0,0.0,5473392041.25,5473392041.25
2020-03-18,'600890,中房股份,0.0,0.0,0.0,0.0,9.45,None,None,0.0,0,0.0,5473392041.25,5473392041.25
2020-03-17,'600890,中房股份,9.45,9.47,8.55,9.04,9.01,0.44,4.8835,2.4863,14400571,131466785.0,5473392041.25,5473392041.25
2020-03-16,'600890,中房股份,9.01,9.2,8.55,8.59,8.53,0.48,5.6272,2.6431,15308940,136441493.0,5218546274.25,5218546274.25
2020-03-13,'600890,中房股份,8.53,8.66,7.82,7.82,8.69,-0.16,-1.8412,1.4051,8138053,67170477.0,4940532710.25,4940532710.25
2020-03-12,'600890,中房股份,8.69,8.82,8.4,8.41,8.53,0.16,1.8757,1.1806,6837801,58708667.0,5033203898.25,5033203898.25
2020-03-11,'600890,中房股份,8.53,8.62,8.46,8.51,8.53,0.0,0.0,0.6667,3861600,32984431.0,4940532710.25,4940532710.25
2020-03-10,'600890,中房股份,8.53,8.56,8.1,8.31,8.45,0.08,0.9467,1.0416,6032912,50292480.0,4940532710.25,4940532710.25
2020-03-09,'600890,中房股份,8.45,8.58,8.38,8.45,8.49,-0.04,-0.4711,1.2083,6998449,59292315.0,4894197116.25,4894197116.25
2020-03-06,'600890,中房股份,8.49,8.67,8.2,8.27,8.24,0.25,3.034,1.0971,6354348,53810920.0,4917364913.25,4917364913.25
2020-03-05,'600890,中房股份,8.24,8.28,8.02,8.1,8.2,0.04,0.4878,1.0319,5976684,48987476.0,4772566182.0,4772566182.0
2020-03-04,'600890,中房股份,8.2,8.41,7.63,7.7,7.67,0.53,6.91,2.2707,13151983,105848234.0,4749398385.0,4749398385.0
2020-03-03,'600890,中房股份,7.67,7.77,7.59,7.66,7.66,0.01,0.1305,0.6699,3879829,29701406.0,4442425074.75,4442425074.75
2020-03-02,'600890,中房股份,7.66,7.7,7.47,7.58,7.5,0.16,2.1333,0.8309,4812700,36443012.0,4436633125.5,4436633125.5
2020-02-28,'600890,中房股份,7.5,7.73,7.4,7.47,7.64,-0.14,-1.8325,1.2645,7323790,55434436.0,4343961937.5,4343961937.5
2020-02-27,'600890,中房股份,7.64,7.85,7.6,7.72,7.64,0.0,0.0,0.5662,3279201,25200887.0,4425049227.0,4425049227.0
2020-02-26,'600890,中房股份,7.64,7.98,7.6,7.65,7.64,0.0,0.0,1.0323,5979124,46313728.0,4425049227.0,4425049227.0
2020-02-25,'600890,中房股份,7.64,7.84,7.37,7.49,7.59,0.05,0.6588,1.2439,7204590,54784844.0,4425049227.0,4425049227.0
2020-02-24,'600890,中房股份,7.59,7.75,7.18,7.28,7.2,0.39,5.4167,1.1484,6651711,49639321.0,4396089480.75,4396089480.75
2020-02-21,'600890,中房股份,7.2,7.34,7.15,7.15,7.21,-0.01,-0.1387,0.4898,2836700,20501245.0,4170203460.0,4170203460.0
2020-02-20,'600890,中房股份,7.21,7.36,7.13,7.13,7.18,0.03,0.4178,0.5443,3152310,22791235.0,4175995409.25,4175995409.25
2020-02-19,'600890,中房股份,7.18,7.27,7.12,7.27,7.23,-0.05,-0.6916,0.4157,2407710,17301641.0,4158619561.5,4158619561.5
2020-02-18,'600890,中房股份,7.23,7.42,7.11,7.42,7.27,-0.04,-0.5502,0.6996,4052120,29131924.0,4187579307.75,4187579307.75
2020-02-17,'600890,中房股份,7.27,7.31,6.88,7.01,6.99,0.28,4.0057,0.9624,5574037,39977487.0,4210747104.75,4210747104.75
2020-02-14,'600890,中房股份,6.99,7.13,6.46,6.61,6.48,0.51,7.8704,1.0046,5818749,39764511.0,4048572525.75,4048572525.75
2020-02-13,'600890,中房股份,6.48,6.57,6.39,6.39,6.47,0.01,0.1546,0.4514,2614450,17003105.0,3753183114.0,3753183114.0
2020-02-12,'600890,中房股份,6.47,6.48,6.2,6.26,6.27,0.2,3.1898,0.5683,3291701,20842607.0,3747391164.75,3747391164.75
2020-02-11,'600890,中房股份,6.27,6.4,5.77,6.19,6.17,0.1,1.6207,0.5875,3402801,21231822.0,3631552179.75,3631552179.75
2020-02-10,'600890,中房股份,6.17,6.18,6.07,6.13,6.14,0.03,0.4886,0.3163,1832101,11246296.0,3573632687.25,3573632687.25
2020-02-07,'600890,中房股份,6.14,6.16,6.04,6.13,6.12,0.02,0.3268,0.5326,3084800,18790091.0,3556256839.5,3556256839.5
2020-02-06,'600890,中房股份,6.12,6.21,6.0,6.03,6.03,0.09,1.4925,0.6009,3480241,21240773.0,3544672941.0,3544672941.0
2020-02-05,'600890,中房股份,6.03,6.16,5.93,5.93,6.01,0.02,0.3328,0.7467,4325100,26243088.0,3492545397.75,3492545397.75
2020-02-04,'600890,中房股份,6.01,6.29,5.76,5.76,6.36,-0.35,-5.5031,1.3221,7657692,45785645.0,3480961499.25,3480961499.25
2020-02-03,'600890,中房股份,6.36,6.49,6.36,6.36,7.07,-0.71,-10.0424,0.3594,2081900,13244134.0,3683679723.0,3683679723.0
2020-01-23,'600890,中房股份,7.07,7.55,6.88,7.52,7.48,-0.41,-5.4813,1.0589,6133201,43852749.0,4094908119.75,4094908119.75
2020-01-22,'600890,中房股份,7.48,7.6,7.32,7.58,7.61,-0.13,-1.7083,1.3029,7546539,56275117.0,4332378039.0,4332378039.0
2020-01-21,'600890,中房股份,7.61,7.81,7.57,7.66,7.61,0.0,0.0,0.8543,4948300,37893361.0,4407673379.25,4407673379.25
2020-01-20,'600890,中房股份,7.61,7.76,7.42,7.76,7.77,-0.16,-2.0592,1.5594,9031789,68124821.0,4407673379.25,4407673379.25
2020-01-17,'600890,中房股份,7.77,7.86,7.56,7.77,7.7,0.07,0.9091,1.0725,6211860,48197517.0,4500344567.25,4500344567.25
2020-01-16,'600890,中房股份,7.7,7.93,7.61,7.83,7.78,-0.08,-1.0283,0.9925,5748791,44360993.0,4459800922.5,4459800922.5
2020-01-15,'600890,中房股份,7.78,7.78,7.4,7.7,7.77,0.01,0.1287,1.9633,11371348,86823543.0,4506136516.5,4506136516.5
2020-01-14,'600890,中房股份,7.77,7.94,7.4,7.5,7.22,0.55,7.6177,3.6373,21067340,163621921.0,4500344567.25,4500344567.25
2020-01-13,'600890,中房股份,7.22,7.22,6.51,6.56,6.56,0.66,10.061,2.5024,14494020,102868560.0,4181787358.5,4181787358.5
2020-01-10,'600890,中房股份,6.56,6.65,6.18,6.19,6.2,0.36,5.8065,1.1228,6503252,42058049.0,3799518708.0,3799518708.0
2020-01-09,'600890,中房股份,6.2,6.21,6.07,6.09,6.08,0.12,1.9737,0.3204,1855502,11450731.0,3591008535.0,3591008535.0
2020-01-08,'600890,中房股份,6.08,6.23,6.05,6.23,6.26,-0.18,-2.8754,0.367,2125600,13035041.0,3521505144.0,3521505144.0
2020-01-07,'600890,中房股份,6.26,6.33,6.15,6.29,6.29,-0.03,-0.4769,0.6112,3539800,22065492.0,3625760230.5,3625760230.5
2020-01-06,'600890,中房股份,6.29,6.33,6.2,6.22,6.29,0.0,0.0,0.3818,2211401,13831767.0,3643136078.25,3643136078.25
2020-01-03,'600890,中房股份,6.29,6.39,6.25,6.31,6.31,-0.02,-0.317,0.3466,2007323,12635723.0,3643136078.25,3643136078.25
