代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,今开,昨收,量比,换手率,市盈率,市净率
600605,汇通能源,11.6,-0.09%,-0.01,3235,378.56万,3.70%,12,11.57,11.65,11.61,0.72,0.22%,33.75,2.24
603868,飞科电器,46.91,-0.11%,-0.05,5823,2724.82万,3.60%,47.8,46.11,46.6,46.96,1.18,0.13%,32.53,7.67
688099,晶晨股份,74.51,-0.11%,-0.08,1.82万,1.37亿,3.16%,76.37,74.01,75,74.59,0.89,0.86%,-1728.08,11.01
688559,海目星,31.82,-0.13%,-0.04,3.91万,1.25亿,6.78%,33.13,30.97,31.86,31.86,0.76,8.60%,137.62,4.76
600483,福能股份,7.83,-0.13%,-0.01,2.44万,1909.80万,2.17%,7.94,7.77,7.8,7.84,0.74,0.16%,12.74,0.98
603909,合诚股份,15.35,-0.13%,-0.02,5766,888.26万,1.56%,15.48,15.24,15.36,15.37,0.65,0.40%,48.8,2.67
600189,泉阳泉,14.19,-0.14%,-0.02,40.70万,5.83亿,7.53%,14.73,13.66,14.58,14.21,0.79,7.23%,99.6,6.86
600967,内蒙一机,12.48,-0.16%,-0.02,51.07万,6.31亿,3.20%,12.55,12.15,12.36,12.5,0.65,3.02%,33.73,2.21
600057,厦门象屿,5.97,-0.17%,-0.01,9.30万,5575.30万,2.01%,6.05,5.93,5.98,5.98,1.15,0.43%,10.36,1.2
600660,福耀玻璃,50.81,-0.18%,-0.09,18.22万,9.30亿,2.57%,51.53,50.22,50.22,50.9,1.1,0.91%,55.49,6.07
603187,海容冷链,64.28,-0.19%,-0.12,2.16万,1.40亿,4.29%,65.99,63.23,64.53,64.4,1.05,1.83%,35.41,6.26
603501,韦尔股份,263.5,-0.19%,-0.5,10.66万,28.31亿,5.08%,273.01,259.6,265.97,264,1.55,1.36%,99.31,21.7
600836,*ST界龙,5.11,-0.20%,-0.01,3.83万,1953.97万,1.56%,5.15,5.07,5.12,5.12,0.98,0.58%,11.22,3.39
601998,中信银行,5.08,-0.20%,-0.01,14.22万,7235.75万,0.79%,5.11,5.07,5.09,5.09,1.13,0.04%,5.05,0.55
601398,工商银行,4.96,-0.20%,-0.01,203.73万,10.14亿,0.80%,5,4.96,4.97,4.97,0.98,0.08%,5.8,0.69
600873,梅花生物,4.83,-0.21%,-0.01,18.30万,8878.69万,1.86%,4.89,4.8,4.87,4.84,0.8,0.59%,13.71,1.67
601179,中国西电,4.59,-0.22%,-0.01,33.48万,1.54亿,3.04%,4.67,4.53,4.59,4.6,1.01,0.65%,83.2,1.19
603519,立霸股份,13.57,-0.22%,-0.03,1.26万,1708.40万,2.94%,13.7,13.3,13.48,13.6,1.14,0.57%,28.08,4.04
603979,金诚信,13.44,-0.22%,-0.03,7.61万,1.02亿,2.90%,13.64,13.25,13.48,13.47,0.83,1.30%,21.32,1.75
601069,西部黄金,13.37,-0.22%,-0.03,3.81万,5105.09万,2.39%,13.54,13.22,13.36,13.4,1.37,0.60%,197.68,4.92
600011,华能国际,4.42,-0.23%,-0.01,32.99万,1.45亿,2.48%,4.47,4.36,4.4,4.43,0.85,0.30%,5.7,0.88
601069,西部黄金,13.37,-0.22%,-0.03,3.82万,5107.63万,2.39%,13.54,13.22,13.36,13.4,1.37,0.60%,197.68,4.92
600011,华能国际,4.42,-0.23%,-0.01,32.99万,1.45亿,2.48%,4.47,4.36,4.4,4.43,0.85,0.30%,5.7,0.88
600236,桂冠电力,4.41,-0.23%,-0.01,2.09万,919.85万,1.13%,4.43,4.38,4.41,4.42,0.6,0.03%,15.62,2.37
