代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,今开,昨收,量比,换手率,市盈率,市净率
603218,日月股份,34.17,3.55%,1.17,13.82万,4.66亿,10.70%,35.58,32.05,32.6,33,1.43,1.67%,35.34,4.14
601225,陕西煤业,9.93,3.55%,0.34,66.31万,6.55亿,4.17%,10.03,9.63,9.63,9.59,1.62,0.66%,6.49,1.48
601225,陕西煤业,9.92,3.44%,0.33,66.33万,6.55亿,4.17%,10.03,9.63,9.63,9.59,1.62,0.66%,6.48,1.48
603308,应流股份,34.42,3.36%,1.12,5.43万,1.85亿,4.50%,34.66,33.16,33.18,33.3,0.86,1.11%,95.76,4.54
688698,伟创电气,19.88,3.33%,0.64,10.25万,2.07亿,10.29%,21,19.02,19.46,19.24,1.18,27.98%,36.28,4.78
688116,天奈科技,66.29,3.29%,2.11,2.85万,1.85亿,5.64%,66.8,63.18,64.6,64.18,1.07,1.62%,150.1,9.46
600966,博汇纸业,16.37,3.28%,0.52,19.44万,3.18亿,4.67%,16.55,15.81,15.85,15.85,1.39,1.45%,31.12,3.79
601778,晶科科技,7.57,3.27%,0.24,36.87万,2.76亿,6.41%,7.69,7.22,7.38,7.33,1.43,6.20%,39.08,1.9
600568,*ST中珠,1.59,3.25%,0.05,18.42万,2927.85万,4.55%,1.61,1.54,1.54,1.54,2.24,1.18%,-51.6,0.87
688202,美迪西,164.07,3.22%,5.12,1.05万,1.71亿,5.65%,166.99,158.01,158.95,158.95,2.81,4.04%,102.05,9.49
600072,中船科技,14.87,3.12%,0.45,29.62万,4.25亿,6.10%,14.88,14,14.28,14.42,0.95,4.02%,563.8,2.89
601766,中国中车,6.07,3.06%,0.18,520.49万,31.78亿,8.83%,6.36,5.84,6.01,5.89,5.14,2.14%,19.23,1.26
603712,七一二,44.8,2.99%,1.3,5.27万,2.33亿,5.63%,45.2,42.75,43.04,43.5,1.28,1.44%,150.18,13.03
